ID player;age
1399;44
1400;41
1401;25
1402;43
1403;46
1404;55
1405;54
1406;54
1407;56
1408;44
1409;54
1410;57
1411;54
1412;43
1413;34
1414;61
1415;62
1416;60
1417;32
1418;41
1419;39
1420;45
1421;33
1422;30
1423;42
1424;29
1425;48
1426;44
1427;39
1428;42
1429;45
1430;38
1431;37
1432;35
1433;61
1434;33
1435;38
1436;24
1437;44
1438;39
1439;46
1440;26
1441;28
5529;29
1443;36
1444;71
1445;38
1446;37
1447;40
1448;39
1449;46
1450;34
1451;42
1452;46
1453;39
1454;36
1455;43
1456;45
1457;44
1458;43
1459;54
1460;53
1461;57
1462;69
1463;48
1464;65
1465;37
1466;69
1467;40
1468;49
1469;59
1470;31
5526;21
1472;32
1474;33
1476;54
1478;25
1479;84
1480;39
1481;23
1482;37
1483;30
1484;55
1485;30
1486;29
1487;32
1488;37
1490;23
1491;53
1492;24
1493;27
1494;29
1495;54
1496;47
1497;47
1499;29
1500;48
1501;30
6499;22
1504;47
1505;39
1506;40
1507;84
1508;48
1509;58
1510;38
1511;36
1512;84
1513;30
1514;36
1515;30
1516;23
1517;28
1518;84
1519;55
1520;27
1523;48
1524;35
1525;26
1526;45
1527;44
1528;29
1529;58
1530;42
1531;29
1532;40
1533;46
1534;35
1535;38
1536;38
1537;39
1538;37
1539;32
1540;36
1541;28
1542;24
1543;44
1544;25
1545;53
1546;48
1547;36
1548;29
1549;39
1550;36
1551;27
1552;31
1553;47
1554;30
1555;54
1556;34
1557;22
1558;67
1559;52
1560;22
1561;42
1562;29
1564;46
1565;49
1566;38
1567;53
1568;26
1569;36
1572;25
1573;84
1574;34
1575;46
1576;27
1577;25
1578;28
1580;46
1582;54
1583;59
1584;38
1585;30
1586;31
1587;31
1588;40
1589;41
1590;31
1591;31
1592;53
1593;41
1594;33
1595;43
1596;42
1597;47
1598;23
1599;17
1600;17
1601;17
1602;17
1603;17
1604;17
1605;17
1606;16
1607;17
1608;17
1609;16
1610;17
1611;17
1612;17
1613;17
5520;26
1615;17
1616;17
1617;16
1618;17
1619;33
1620;14
1621;14
1622;14
1623;14
1624;14
1625;14
1626;14
1627;14
1628;14
1629;14
1630;14
1631;14
1632;14
1633;14
1634;14
1635;13
1636;14
1637;14
1638;14
1639;14
1659;17
1640;17
1641;14
1642;14
1643;14
1644;15
1645;13
1646;14
1647;14
1648;14
1649;14
1650;14
1651;14
1652;14
1653;14
1654;14
1655;14
1656;14
1657;15
1658;14
1660;17
1661;17
1662;17
1663;17
1664;18
1665;16
1666;17
1667;17
1668;17
6203;17
1670;17
1671;17
5524;84
1673;14
1674;14
1675;14
1676;14
1677;14
1678;14
1679;19
1680;14
1681;14
1682;14
1683;20
1684;14
1685;20
1686;20
1687;14
1688;19
1689;20
1690;14
1691;19
1692;14
1693;20
1694;20
1695;14
1696;20
1697;14
1698;19
1699;19
1700;14
1701;14
1702;14
