ID,ID game,ID team,IDp_in_ice,IDp_out_ice,timer
55175,541,79,1838.0,,0-00
55247,541,80,1981.0,,0-00
55298,543,79,1838.0,,0-00
55299,543,78,1642.0,,0-00
55374,544,83,1887.0,,0-00
55375,544,81,1673.0,,0-00
55659,545,73,1960.0,,0-00
55660,545,74,1620.0,,0-00
55720,546,82,1872.0,,0-00
55721,546,81,1674.0,,0-00
55751,546,81,,1674.0,59-04
55752,543,78,,1641.0,59-20
55753,542,77,1754.0,,0-00
55754,542,77,,1754.0,59-10
55755,542,76,1740.0,,0-00
56459,542,76,1741.0,1740.0,12-00
57875,544,81,1674.0,1673.0,30-00
57876,546,81,1675.0,1674.0,30-00
57899,541,80,1982.0,1981.0,20-00
54980,529,72,1716.0,,0-00
54981,529,73,1961.0,,0-00
55020,530,78,1641.0,,0-00
55050,560,1,67.0,,0-00
55052,560,66,1585.0,,0-00
55053,540,10,109.0,,0-00
55054,540,9,18.0,,0-00
55135,530,80,1981.0,,0-00
55434,534,75,1870.0,,0-00
55440,534,77,1754.0,,0-00
55487,533,82,1872.0,,0-00
55488,533,83,1887.0,,0-00
55537,532,75,1870.0,,0-00
55538,532,76,1741.0,,0-00
55596,531,74,1621.0,,0-00
55597,531,72,1716.0,,0-00
56813,529,72,1715.0,1716.0,40-00
56814,531,72,1715.0,1716.0,40-00
54704,537,62,1409.0,,0-00
54705,537,65,1534.0,,0-00
54788,538,51,368.0,,0-00
54789,538,12,67.0,,0-00
54791,528,6,1598.0,,0-00
54848,528,17,743.0,,0-00
54873,539,53,109.0,,0-00
54875,539,24,1077.0,,0-00
53742,526,9,775.0,,0-00
53743,526,10,520.0,,0-00
54023,526,9,,775.0,44-27
54028,516,54,1557.0,,0-00
54082,522,24,1077.0,,0-00
54083,522,53,109.0,,0-00
54084,516,59,217.0,,0-00
54157,517,65,1534.0,,0-00
54158,517,62,1408.0,,0-00
54244,521,8,1331.0,,0-00
54245,521,52,102.0,,0-00
54320,535,63,1310.0,,0-00
54321,535,18,1044.0,,0-00
