ID,ID game,ID player,ID team,total time on ice,throws by,a shot on target,accurate transmission,blocked throws
667,6737,763.0,35,,,,,
668,6737,988.0,35,,,,,
669,6737,3452.0,35,,,,,
670,6737,1576.0,35,,,,,
671,6737,3456.0,35,,,,,
672,6737,378.0,35,,,,,
673,6737,366.0,35,,,,,
674,6737,759.0,35,,,,,
675,6757,7064.0,403,,,,,
676,6757,6045.0,403,,,,,
677,6757,6608.0,403,977.0,,1.0,,1.0
678,6757,7617.0,403,630.0,,1.0,,1.0
679,6757,4476.0,403,1222.0,3.0,1.0,,1.0
680,6757,5248.0,403,1147.0,,,,2.0
681,6757,6284.0,403,1070.0,,,,1.0
682,6757,6285.0,403,1028.0,1.0,4.0,,2.0
683,6757,6760.0,403,1079.0,3.0,4.0,,2.0
684,6757,4218.0,403,734.0,,2.0,,
685,6757,364.0,403,837.0,3.0,2.0,,
686,6757,4484.0,403,894.0,,1.0,,
687,6757,5534.0,403,612.0,1.0,2.0,,
688,6757,7211.0,403,761.0,4.0,3.0,,1.0
689,6757,7144.0,404,,,,,
690,6757,7018.0,404,572.0,4.0,,,
691,6757,7006.0,404,226.0,1.0,,,
692,6757,6336.0,404,1002.0,3.0,1.0,,1.0
693,6757,7015.0,404,792.0,1.0,1.0,,1.0
694,6757,6252.0,404,816.0,,3.0,,
695,6757,7016.0,404,462.0,,,,
696,6757,1157.0,404,1102.0,3.0,2.0,,
697,6757,2431.0,404,733.0,3.0,1.0,,
698,6757,6202.0,404,1052.0,3.0,2.0,,
699,6757,1537.0,404,990.0,2.0,4.0,,1.0
700,6757,7008.0,404,642.0,,1.0,,
701,6757,7592.0,404,677.0,,2.0,,
702,6757,120.0,404,1197.0,3.0,1.0,2.0,
703,6757,7061.0,404,1029.0,5.0,5.0,,1.0
704,6757,7004.0,404,66.0,,,,
705,6757,7011.0,404,621.0,,1.0,,
706,6757,7020.0,404,659.0,,1.0,,1.0
707,6757,3377.0,403,1025.0,5.0,8.0,,
708,6023,2589.0,354,,,,,
709,6023,5927.0,354,9.0,,,,
710,6023,6177.0,354,8.0,,,,
711,6023,5926.0,354,11.0,,,,
712,6023,6189.0,354,,,,,
713,6023,5916.0,354,11.0,,,,
714,6023,5920.0,354,,,,,
715,6023,5922.0,354,11.0,,,,
716,6023,7439.0,354,10.0,,,,
717,6023,5937.0,354,11.0,,,,
718,6023,6174.0,354,9.0,,,,
719,6023,6126.0,354,10.0,,,,
720,6023,5313.0,354,,,,,
721,6023,5929.0,354,8.0,,,,
722,6023,4855.0,354,10.0,,,,
723,6023,4853.0,354,,,,,
724,6779,7064.0,403,,,,,
725,6779,6045.0,403,,,,,
726,6779,6608.0,403,1297.0,,1.0,,
727,6779,4476.0,403,1346.0,,1.0,,
728,6779,5248.0,403,1256.0,1.0,,,
729,6779,6607.0,403,766.0,,,,
730,6779,6285.0,403,947.0,2.0,1.0,,
731,6779,6760.0,403,919.0,1.0,3.0,,
732,6779,4218.0,403,678.0,,,,
733,6779,364.0,403,1159.0,3.0,3.0,,
734,6779,3377.0,403,809.0,6.0,6.0,,
735,6779,4484.0,403,1088.0,4.0,2.0,,1.0
736,6779,5534.0,403,756.0,1.0,,,
737,6779,7211.0,403,1149.0,3.0,3.0,,
738,6779,5537.0,403,1162.0,3.0,,,1.0
739,6779,2459.0,26,,,,,
740,6779,4495.0,26,1259.0,,2.0,,1.0
741,6779,2464.0,26,1182.0,2.0,,,4.0
742,6779,1036.0,26,543.0,,,,
743,6779,2800.0,26,614.0,,3.0,,
744,6779,2549.0,26,1326.0,2.0,2.0,,1.0
745,6779,1356.0,26,1224.0,1.0,2.0,,2.0
746,6779,5951.0,26,518.0,,4.0,,
747,6779,2460.0,26,800.0,1.0,2.0,,
748,6779,7524.0,26,407.0,1.0,1.0,,
749,6779,5641.0,26,690.0,2.0,2.0,,
750,6779,2466.0,26,380.0,,,,
751,6779,2461.0,26,1042.0,,3.0,,
752,6779,4500.0,26,700.0,,4.0,,
753,6779,4499.0,26,956.0,,1.0,,1.0
754,6779,3631.0,26,891.0,1.0,2.0,,
755,6785,5123.0,138,,,,,
756,6785,4279.0,138,1219.0,1.0,2.0,,1.0
757,6785,5215.0,138,1341.0,3.0,1.0,,
758,6785,6333.0,138,1250.0,,3.0,,
759,6785,6146.0,138,1406.0,3.0,2.0,,1.0
760,6785,1024.0,138,1433.0,1.0,2.0,,
761,6785,6508.0,138,1207.0,3.0,2.0,,1.0
762,6785,6519.0,138,1376.0,1.0,4.0,,
763,6785,6512.0,138,1341.0,2.0,4.0,,1.0
764,6785,288.0,138,1283.0,4.0,3.0,,
765,6785,7204.0,138,1208.0,2.0,7.0,,1.0
766,6785,5516.0,104,,,,,
767,6785,2215.0,104,1350.0,,2.0,,2.0
768,6785,4232.0,104,1430.0,4.0,,,1.0
769,6785,7190.0,104,1260.0,2.0,,,
770,6785,4445.0,104,1170.0,,2.0,,
771,6785,570.0,104,810.0,1.0,2.0,,
772,6785,2225.0,104,959.0,2.0,2.0,,
773,6785,4561.0,104,973.0,,3.0,,
774,6785,2231.0,104,760.0,2.0,1.0,,
775,6785,2227.0,104,860.0,2.0,5.0,,
776,6785,4859.0,104,722.0,,1.0,,
777,6785,2221.0,104,745.0,,,,
778,6785,3722.0,104,809.0,,4.0,,
779,6785,5612.0,104,1046.0,1.0,6.0,,
780,6791,7222.0,406,,,,,
781,6791,5561.0,406,,,,,
782,6791,7760.0,406,1684.0,1.0,7.0,,1.0
783,6791,7759.0,406,1320.0,1.0,,,
784,6791,6927.0,406,1009.0,1.0,,,
785,6791,104.0,406,1352.0,1.0,3.0,,1.0
786,6791,2203.0,406,930.0,3.0,3.0,,
787,6791,6935.0,406,816.0,,1.0,,
788,6791,7567.0,406,1094.0,4.0,6.0,,
789,6791,6932.0,406,818.0,1.0,,,1.0
790,6791,7626.0,406,872.0,1.0,,,
791,6791,6938.0,406,820.0,,,,
792,6791,7757.0,406,979.0,,1.0,,1.0
793,6791,7076.0,406,639.0,1.0,,,
794,6791,7758.0,406,678.0,,,,1.0
795,6791,217.0,331,,,,,
796,6791,6281.0,331,1316.0,2.0,,,3.0
797,6791,17.0,331,1302.0,3.0,2.0,,1.0
798,6791,7721.0,331,1233.0,2.0,2.0,,
799,6791,5585.0,331,1213.0,,,,
800,6791,4311.0,331,875.0,,3.0,,
801,6791,2218.0,331,821.0,2.0,3.0,,
802,6791,7716.0,331,709.0,1.0,4.0,,
803,6791,5582.0,331,919.0,5.0,4.0,,1.0
804,6791,6533.0,331,880.0,2.0,7.0,,
805,6791,806.0,331,746.0,2.0,8.0,,
806,6791,6901.0,331,759.0,,,,
807,6791,5587.0,331,844.0,,1.0,,1.0
808,6791,4529.0,331,708.0,3.0,3.0,,
809,6790,7816.0,439,,,,,
810,6790,7809.0,439,,,,,
811,6790,7143.0,439,981.0,1.0,,,
812,6790,7812.0,439,659.0,1.0,,,1.0
813,6790,1232.0,439,978.0,1.0,,,2.0
814,6790,7803.0,439,977.0,2.0,,,2.0
815,6790,2900.0,439,1065.0,2.0,1.0,,1.0
816,6790,7817.0,439,583.0,3.0,,,
817,6790,7808.0,439,830.0,,1.0,,1.0
818,6790,4331.0,439,1014.0,2.0,3.0,,2.0
819,6790,7804.0,439,650.0,2.0,1.0,,1.0
820,6790,5616.0,439,811.0,1.0,3.0,,
821,6790,7807.0,439,726.0,1.0,,,1.0
822,6790,2321.0,439,809.0,1.0,3.0,,
823,6790,7802.0,439,1176.0,2.0,5.0,,
824,6790,7805.0,439,997.0,,3.0,,
