ID player,skill,amplua
10930,,10.0
4237,,10.0
4823,8.0,10.0
9879,,9.0
11528,,10.0
11657,,10.0
6648,,10.0
4914,8.0,9.0
4812,8.0,10.0
5607,,10.0
6308,,9.0
3467,4.0,9.0
918,,9.0
1438,,9.0
2571,,10.0
4250,,8.0
5960,8.0,10.0
6022,8.0,9.0
6320,,10.0
7225,,10.0
5056,8.0,9.0
10450,,10.0
5157,8.0,10.0
7483,,10.0
10577,,8.0
5250,8.0,8.0
6646,,10.0
9331,,10.0
3725,,9.0
6706,,9.0
9346,,10.0
30,,8.0
3411,,10.0
3496,8.0,10.0
5067,7.0,9.0
5993,8.0,10.0
6085,,10.0
6321,,9.0
8587,,10.0
9624,4.0,10.0
9838,,9.0
11656,,8.0
7923,,8.0
8987,,8.0
5944,8.0,10.0
3516,8.0,10.0
2433,,9.0
2530,,10.0
2894,9.0,9.0
9211,,10.0
10578,,10.0
8510,,
9551,,10.0
9552,,10.0
9456,,10.0
6358,10.0,10.0
1508,,10.0
4006,8.0,9.0
5848,8.0,8.0
8180,1.0,9.0
5430,,10.0
4201,,9.0
8000,4.0,10.0
3124,,9.0
1679,,10.0
2090,8.0,8.0
2456,,10.0
2824,,10.0
8578,,10.0
4438,,10.0
7333,8.0,10.0
4760,,8.0
4870,1.0,10.0
7138,,10.0
1864,,10.0
9566,,10.0
8834,,10.0
9106,,10.0
3347,8.0,10.0
9008,,9.0
11743,12.0,10.0
1803,8.0,10.0
4612,8.0,8.0
8200,,9.0
486,,9.0
2768,,10.0
11074,,9.0
173,,10.0
8957,,10.0
304,,10.0
2860,11.0,10.0
3070,11.0,10.0
4806,,10.0
9088,6.0,9.0
8984,,8.0
9084,,8.0
8965,,9.0
2915,,10.0
6073,,
8105,,10.0
2606,,10.0
8444,,10.0
1298,,10.0
1924,,9.0
3000,8.0,10.0
4315,,9.0
9421,,9.0
9988,,10.0
4970,8.0,10.0
3915,8.0,10.0
523,,10.0
150,,10.0
7272,,10.0
9912,,10.0
7530,8.0,10.0
7052,,10.0
8595,,10.0
912,,10.0
1083,,9.0
2235,,8.0
6473,10.0,10.0
7194,4.0,10.0
11429,,10.0
9160,,10.0
2644,,10.0
6649,,10.0
6879,,9.0
7564,6.0,10.0
5626,,9.0
4263,,10.0
7414,8.0,8.0
2004,,9.0
3259,,9.0
3574,,10.0
10297,,10.0
10967,,8.0
2020,8.0,9.0
3913,8.0,9.0
3914,8.0,10.0
8095,,10.0
10543,,10.0
11273,,8.0
1444,,10.0
1451,,10.0
3260,,10.0
6970,,10.0
7678,,10.0
11707,,8.0
4131,8.0,10.0
10389,,8.0
5614,,10.0
7354,8.0,9.0
3181,,10.0
2534,,9.0
9159,,9.0
11346,,
5994,8.0,8.0
6672,,10.0
11189,,10.0
5241,,
1021,,10.0
3805,8.0,9.0
3825,,9.0
