ID,ID game,ID team,IDp_in_ice,IDp_out_ice,timer
849163,9922,556,442,0,0-00
849210,10094,205,0,2458,43-47
849211,10094,205,2458,0,43-52
849218,10091,546,8820,0,0-00
849219,10091,400,8040,0,0-00
849317,10107,351,6157,0,0-00
849318,10107,354,6179,0,0-00
849497,10115,516,8212,0,0-00
870812,10104,542,9527,0,0-00
870813,10104,526,9216,0,0-00
873894,10118,563,10021,0,0-00
873895,10118,562,9947,0,0-00
873896,10117,561,9918,0,0-00
873897,10117,562,9947,0,0-00
844913,10095,439,7816,0,0-00
844914,10095,176,5509,0,0-00
844966,10083,189,5121,0,0-00
844967,10083,402,8020,0,0-00
845053,10095,439,0,7816,44-40
845117,10087,498,3717,0,0-00
845118,10087,48,7222,0,0-00
845192,10041,49,222,0,0-00
845193,10041,1,7472,0,0-00
845242,10092,411,2312,0,0-00
845243,10092,431,8407,0,0-00
845272,10041,1,0,7472,44-35
845274,10041,1,7472,0,44-52
845335,10112,479,8449,0,0-00
845336,10112,471,7366,0,0-00
845492,10101,453,7047,0,0-00
845493,10101,545,6584,0,0-00
845510,10090,269,2438,0,0-00
845511,10090,207,908,0,0-00
845646,9924,12,71,0,0-00
845707,10102,501,8959,0,0-00
845708,10102,449,1194,0,0-00
845727,9924,63,743,0,0-00
845895,10071,15,7519,0,0-00
845896,10071,35,1376,0,0-00
845928,10111,465,8142,0,0-00
845969,10111,508,7336,0,0-00
845987,10067,46,6488,0,0-00
845988,10067,17,997,0,0-00
846023,10081,92,2478,0,0-00
846024,10081,494,6097,0,0-00
846182,10032,29,673,0,0-00
846344,10032,442,7851,0,0-00
846528,10067,46,0,6488,43-15
847011,10110,463,6242,0,0-00
847012,10110,423,7249,0,0-00
847099,10108,419,5919,0,0-00
847100,10108,354,6179,0,0-00
858773,10281,474,8543,0,0-00
858774,10281,468,7249,0,0-00
858775,10281,468,0,7249,44-56
870814,10103,529,9416,0,0-00
870815,10103,539,9359,0,0-00
841273,10016,439,7620,0,0-00
841274,10016,400,55,0,0-00
841360,10048,354,5318,0,0-00
841378,10048,419,7282,0,0-00
841486,10054,479,8449,0,0-00
841538,10015,546,8820,0,0-00
841539,10015,500,217,0,0-00
841687,10054,470,8601,0,0-00
841810,10045,172,5848,0,0-00
841812,10045,73,8243,0,0-00
842054,10022,205,2458,0,0-00
842055,10022,491,5516,0,0-00
842131,10056,476,7388,0,0-00
842132,10056,467,8348,0,0-00
842410,10056,476,0,7388,44-19
842581,9927,496,7924,0,0-00
842582,9927,379,71,0,0-00
842948,10017,332,1194,0,0-00
842949,10017,130,631,0,0-00
842974,10026,31,7542,0,0-00
842975,10026,396,6488,0,0-00
843040,9854,111,2353,0,0-00
843057,9854,191,6599,0,0-00
843060,10004,445,8403,0,0-00
843061,10004,404,5509,0,0-00
843177,10024,207,908,0,0-00
843178,10024,269,2438,0,0-00
843184,10026,396,0,6488,44-12
843225,10009,214,8012,0,0-00
843226,10009,189,5121,0,0-00
843262,10038,1,7472,0,0-00
843263,10038,49,222,0,0-00
843347,10018,544,1435,0,0-00
843351,10018,375,6280,0,0-00
843370,10024,269,0,2438,44-20
843388,10007,449,1194,0,0-00
843389,10007,545,6584,0,0-00
843390,9926,443,6600,0,0-00
843391,9926,208,4257,0,0-00
843398,10038,1,0,7472,44-39
843400,10038,1,7472,0,44-47
843420,10040,17,997,0,0-00
843422,10040,46,6488,0,0-00
843552,10029,333,6599,0,0-00
843553,10029,452,7821,0,0-00
843638,10040,46,0,6488,43-42
843640,10040,46,6488,0,44-03
843643,10040,46,0,6488,44-43
843646,10025,35,1376,0,0-00
843647,10025,15,7519,0,0-00
843649,9858,556,442,0,0-00
843650,9858,506,3676,0,0-00
843762,10029,333,0,6599,44-47
843841,10027,494,6097,0,0-00
843842,10027,92,2478,0,0-00
843859,9858,506,0,3676,43-42
843862,10010,22,7157,0,0-00
843863,10010,44,5516,0,0-00
873890,10066,559,9996,0,0-00
873891,10066,557,9892,0,0-00
873892,10065,563,10021,0,0-00
873893,10065,560,9961,0,0-00
839327,10019,216,7625,0,0-00
839328,10019,431,8407,0,0-00
839504,10055,478,8310,0,0-00
839521,10055,473,9148,0,0-00
839524,9856,440,8010,0,0-00
839525,9856,409,5873,0,0-00
839667,10052,479,8449,0,0-00
839668,10052,468,7249,0,0-00
839750,9856,440,0,8010,44-42
839752,10023,129,5694,0,0-00
839753,10023,26,1296,0,0-00
839777,10001,448,7966,0,0-00
839778,10001,61,1502,0,0-00
839946,10039,46,6488,0,0-00
839947,10039,17,997,0,0-00
839983,9925,410,6969,0,0-00
839984,9925,109,4494,0,0-00
840188,10039,17,0,997,44-26
840225,10012,53,3072,0,0-00
840226,10012,329,4246,0,0-00
840227,10020,499,8403,0,0-00
840228,10020,176,5509,0,0-00
840429,10012,329,0,4246,44-20
