ID,ID game,ID team,IDp_in_ice,IDp_out_ice,timer
973801,11628,502,6325,0,39-52
973802,11628,502,0,6325,40-15
973804,11628,502,6325,0,40-25
973805,11628,502,0,6325,41-57
973807,11628,502,6325,0,42-18
973809,11628,502,0,6325,42-36
973811,11628,502,6325,0,42-57
973812,11628,502,0,6325,43-42
973823,11629,504,0,10415,44-40
978278,11292,573,0,10416,44-34
971701,11616,451,1365,0,0-00
971702,11616,453,9693,0,0-00
968973,11268,48,4182,0,0-00
968974,11268,440,490,0,0-00
969509,11499,375,4360,0,0-00
969511,11499,61,979,0,0-00
969716,11508,269,2438,0,0-00
969717,11508,38,8945,0,0-00
969722,11515,23,2559,0,0-00
969723,11515,189,8360,0,0-00
969938,11130,505,9341,0,0-00
969939,11130,29,6055,0,0-00
969941,11513,22,4435,0,0-00
969945,11513,329,4246,0,0-00
970113,11266,443,6600,0,0-00
970114,11266,12,2309,0,0-00
970161,11495,411,2312,0,0-00
970167,11495,398,4603,0,0-00
970182,11494,449,1194,0,0-00
970184,11494,104,10151,0,0-00
970253,11513,22,0,4435,44-38
970254,11130,29,0,6055,44-25
970298,11130,29,6055,0,44-36
970306,11503,566,11284,0,0-00
970307,11503,570,6640,0,0-00
970428,11266,12,0,2309,44-35
970430,11494,449,0,10111,44-30
970449,11514,207,8431,0,0-00
970450,11514,336,1557,0,0-00
970464,11282,35,222,0,0-00
970465,11282,333,3717,0,0-00
970493,11493,545,10247,0,0-00
970496,11493,245,7144,0,0-00
970519,11493,545,6584,10247,8-11
970575,11506,582,769,0,0-00
970579,11514,336,0,1557,43-00
970580,11514,336,1557,0,43-19
970584,11551,410,3273,0,0-00
970586,11551,335,6265,0,0-00
970648,11492,453,9693,0,0-00
970649,11492,489,8725,0,0-00
970733,11282,35,0,222,44-30
970757,11492,489,0,8725,24-13
970758,11492,489,8725,0,24-26
970794,11492,489,0,8725,27-00
970808,11510,491,530,0,0-00
970809,11510,205,2458,0,0-00
970811,11131,447,1598,0,0-00
970812,11131,56,995,0,0-00
970813,11492,489,8725,0,30-00
970836,11492,489,0,8725,37-15
970854,11142,580,5751,0,0-00
970855,11142,4,1376,0,0-00
970871,11510,491,0,530,44-13
970878,11506,568,10389,0,0-00
970957,11142,4,0,1376,42-19
970959,11142,4,1376,0,44-42
970961,11284,494,2963,0,0-00
970962,11284,610,11186,0,0-00
971068,11506,568,0,10389,44-14
971080,11511,498,7923,0,0-00
971081,11511,44,5516,0,0-00
971200,11510,491,530,0,44-26
971201,11513,22,4435,0,44-42
966515,11498,499,8403,0,0-00
966516,11498,215,5581,0,0-00
966581,11507,26,9322,0,0-00
966582,11507,397,8952,0,0-00
966773,11500,439,8709,0,0-00
966774,11500,176,5509,0,0-00
966994,11501,332,5212,0,0-00
966995,11501,331,217,0,0-00
967054,11500,176,0,5509,44-11
967167,11509,581,10435,0,0-00
967168,11509,569,7923,0,0-00
967341,11509,581,0,10435,44-14
967360,11509,581,10435,0,44-41
967507,11497,216,1126,0,0-00
967508,11497,574,1312,0,0-00
967568,11491,451,1365,0,0-00
967616,11491,401,3072,0,0-00
967769,11512,214,8012,0,0-00
967770,11512,402,8020,0,0-00
967816,11281,610,11186,0,0-00
967819,11281,393,8010,0,0-00
968093,11265,239,306,0,0-00
968094,11265,63,10239,0,0-00
968096,11265,63,520,10239,2-22
968155,11125,1,7472,0,0-00
968156,11125,17,1619,0,0-00
968233,11126,49,222,0,0-00
968234,11126,573,10416,0,0-00
968236,11128,564,4037,0,0-00
968237,11128,442,7542,0,0-00
968296,11126,573,0,10416,21-13
968297,11126,573,10416,0,22-45
968343,11128,564,0,4037,41-55
968364,11504,504,4294,0,0-00
968365,11504,584,383,0,0-00
968367,11502,405,6923,0,0-00
968368,11502,406,1311,0,0-00
968420,11502,405,0,6923,44-26
971202,11128,564,4037,0,44-44
966313,11496,431,10403,0,0-00
966314,11496,445,5123,0,0-00
962434,11460,502,8829,0,0-00
962435,11460,577,908,0,0-00
962884,11263,440,490,0,0-00
962885,11263,408,4933,0,0-00
963300,11472,245,7144,0,0-00
963342,11472,104,10151,0,0-00
963417,11448,336,1557,0,0-00
963418,11448,329,4246,0,0-00
963853,11445,498,7923,0,0-00
963854,11445,22,4435,0,0-00
963894,11448,336,0,1557,44-54
963903,11471,451,1365,0,0-00
963912,11471,545,6584,0,0-00
963935,11462,411,5717,0,0-00
963936,11462,439,7620,0,0-00
964061,11276,191,6599,0,0-00
964064,11276,610,11186,0,0-00
964140,11456,582,2764,0,0-00
964190,11447,207,4257,0,0-00
964191,11447,189,10415,0,0-00
964264,11277,92,2056,0,0-00
964294,11277,31,995,0,0-00
964470,11452,129,631,0,0-00
964471,11452,581,10435,0,0-00
964491,11447,189,8360,10415,23-32
964512,11466,375,4360,0,0-00
