ID,ID game,ID player,ID team,total time on ice,throws by,a shot on target,accurate transmission,blocked throws,skill,amplua
437,6353,5794,63,0,0,0,0,0,0.0,10.0
438,6353,6327,63,0,0,0,0,0,0.0,10.0
439,6353,2319,63,0,0,0,0,0,0.0,10.0
440,6353,5793,63,0,0,0,0,0,0.0,10.0
441,6353,5695,27,0,0,0,0,0,0.0,8.0
442,6353,5873,27,0,0,0,0,0,0.0,9.0
443,6353,7127,27,1273,0,0,0,0,0.0,9.0
444,6353,4251,27,907,0,0,0,0,0.0,10.0
445,6353,2329,27,744,0,0,0,0,0.0,9.0
446,6353,4250,27,1360,0,0,0,0,0.0,9.0
447,6353,6434,27,740,0,0,0,0,0.0,9.0
448,6353,6090,27,1015,0,0,0,0,0.0,9.0
449,6353,6085,27,865,2,1,0,1,0.0,10.0
450,6353,6091,27,1122,5,3,0,0,0.0,10.0
451,6353,4555,27,1162,5,1,0,1,0.0,9.0
452,6353,1531,27,945,4,3,0,0,0.0,10.0
453,6353,4558,27,954,1,0,0,1,0.0,10.0
454,6353,7547,27,1006,4,3,0,0,11.0,10.0
455,6353,2325,27,1043,1,3,0,1,0.0,10.0
456,6358,3428,138,0,0,0,0,0,0.0,8.0
457,6358,5162,138,0,0,0,0,0,0.0,9.0
458,6358,1301,138,0,0,0,0,0,,
459,6358,3060,138,0,0,0,0,0,0.0,9.0
460,6358,1297,138,0,0,0,0,0,0.0,9.0
461,6358,1560,138,0,0,0,0,0,0.0,9.0
462,6358,7474,138,0,0,0,0,0,0.0,9.0
463,6358,1066,138,0,0,0,0,0,0.0,10.0
464,6358,6512,138,0,0,0,0,0,0.0,10.0
465,6358,6508,138,0,0,0,0,0,0.0,10.0
466,6358,6513,138,0,0,0,0,0,0.0,10.0
467,6358,288,138,0,0,0,0,0,0.0,10.0
468,6358,5276,138,0,0,0,0,0,0.0,10.0
469,6358,1026,138,0,0,0,0,0,0.0,10.0
470,6358,6213,138,0,0,0,0,0,0.0,10.0
471,6358,6514,138,0,0,0,0,0,0.0,10.0
472,6358,4256,38,0,0,0,0,0,0.0,8.0
473,6358,495,38,1531,0,0,0,0,0.0,9.0
474,6358,4604,38,1432,0,0,0,0,0.0,9.0
475,6358,13,38,1118,0,0,0,0,0.0,10.0
476,6358,6479,38,1326,2,2,0,0,0.0,10.0
477,6358,231,38,1288,0,2,0,0,0.0,10.0
478,6358,6210,38,1163,0,0,0,1,0.0,10.0
479,6358,4601,38,1198,0,2,0,0,0.0,10.0
480,6358,4596,38,1128,1,2,0,0,0.0,10.0
481,6358,4605,38,1268,0,4,0,0,0.0,10.0
482,6358,25,38,1257,1,3,0,0,0.0,10.0
514,100,31,32,0,0,0,0,0,0.0,8.0
515,100,374,32,0,0,0,0,0,0.0,9.0
516,100,714,32,0,0,0,0,0,0.0,9.0
517,100,721,32,0,0,0,0,0,0.0,10.0
518,100,385,32,0,0,0,0,0,0.0,9.0
519,100,715,32,0,0,0,0,0,0.0,10.0
520,100,387,32,0,0,0,0,0,0.0,10.0
521,100,487,32,0,0,0,0,0,0.0,10.0
522,100,380,32,0,0,0,0,0,0.0,10.0
523,100,367,32,0,0,0,0,0,0.0,10.0
524,100,67,1,0,0,0,0,0,0.0,8.0
525,100,571,1,0,0,0,0,0,0.0,9.0
526,100,66,1,0,0,0,0,0,0.0,9.0
527,100,1100,1,0,0,0,0,0,0.0,9.0
528,100,1099,1,0,0,0,0,0,3.0,10.0
529,100,79,1,0,0,0,0,0,0.0,9.0
530,100,295,1,0,0,0,0,0,0.0,10.0
531,100,843,1,0,0,0,0,0,0.0,9.0
532,100,1,1,0,0,0,0,0,0.0,10.0
533,100,840,1,0,0,0,0,0,0.0,10.0
534,100,886,1,0,0,0,0,0,0.0,10.0
535,100,300,1,0,0,0,0,0,11.0,10.0
536,100,294,1,0,0,0,0,0,11.0,9.0
537,101,997,4,0,0,0,0,0,4.0,8.0
538,101,1000,4,0,0,0,0,0,0.0,9.0
539,101,1001,4,0,0,0,0,0,0.0,9.0
540,101,1008,4,0,0,0,0,0,7.0,9.0
541,101,1010,4,0,0,0,0,0,0.0,9.0
542,101,1012,4,0,0,0,0,0,0.0,9.0
543,101,501,4,161,0,0,1,0,11.0,10.0
544,101,1005,4,161,2,0,0,0,0.0,10.0
545,101,1004,4,161,0,2,0,0,0.0,10.0
