ID,ID game,ID player,ID team,None,total time on ice,throws by,a shot on target,blocked throws,skill,amplua
939.0,6860,5248.0,403,,1246.0,1.0,2.0,1.0,0.0,9.0
940.0,6860,6284.0,403,,,,,,0.0,9.0
941.0,6860,6607.0,403,,,,,,0.0,9.0
942.0,6860,6285.0,403,,796.0,1.0,,1.0,0.0,10.0
943.0,6860,6760.0,403,,1240.0,3.0,3.0,1.0,0.0,10.0
944.0,6860,4218.0,403,,945.0,,,,0.0,10.0
945.0,6860,364.0,403,,983.0,3.0,7.0,,0.0,10.0
946.0,6860,3377.0,403,,865.0,1.0,2.0,,0.0,10.0
947.0,6860,4484.0,403,,1103.0,6.0,2.0,,0.0,10.0
948.0,6860,5534.0,403,,418.0,,,,0.0,10.0
949.0,6860,7211.0,403,,953.0,2.0,2.0,,0.0,10.0
950.0,6860,5537.0,403,,1156.0,1.0,2.0,,0.0,10.0
951.0,6865,1046.0,205,,,,,,0.0,8.0
952.0,6865,6312.0,205,,1432.0,2.0,,,0.0,9.0
953.0,6865,655.0,205,,1110.0,1.0,,1.0,0.0,9.0
954.0,6865,6613.0,205,,616.0,2.0,,,0.0,9.0
955.0,6865,4204.0,205,,1157.0,,,1.0,0.0,9.0
956.0,6865,7720.0,205,,1624.0,1.0,2.0,1.0,0.0,9.0
957.0,6865,6661.0,205,,537.0,1.0,,1.0,0.0,9.0
958.0,6865,662.0,205,,645.0,,4.0,,0.0,10.0
959.0,6865,7754.0,205,,1085.0,5.0,4.0,,0.0,10.0
960.0,6865,6612.0,205,,1023.0,2.0,6.0,,0.0,10.0
961.0,6865,7823.0,205,,866.0,,2.0,,0.0,10.0
962.0,6865,4195.0,205,,874.0,,,,0.0,10.0
963.0,6865,5153.0,205,,1001.0,3.0,6.0,,0.0,10.0
964.0,6865,7196.0,205,,959.0,,4.0,,0.0,10.0
965.0,6865,217.0,331,,,,,,0.0,8.0
966.0,6865,2218.0,331,,848.0,,1.0,,0.0,10.0
967.0,6865,6281.0,331,,833.0,,,1.0,0.0,9.0
968.0,6865,5591.0,331,,950.0,,,1.0,0.0,10.0
969.0,6865,17.0,331,,1031.0,,,1.0,0.0,9.0
970.0,6865,7721.0,331,,746.0,,1.0,,0.0,10.0
971.0,6865,5585.0,331,,736.0,,,1.0,0.0,9.0
972.0,6865,4311.0,331,,607.0,1.0,3.0,,0.0,10.0
973.0,6865,7716.0,331,,1194.0,4.0,6.0,1.0,0.0,10.0
974.0,6865,5582.0,331,,964.0,4.0,3.0,,0.0,10.0
975.0,6865,652.0,331,,853.0,6.0,1.0,,0.0,10.0
976.0,6865,6533.0,331,,916.0,2.0,2.0,1.0,0.0,10.0
977.0,6865,806.0,331,,1250.0,2.0,9.0,,0.0,10.0
978.0,6865,6901.0,331,,753.0,1.0,1.0,,0.0,10.0
979.0,6865,5587.0,331,,731.0,1.0,3.0,1.0,0.0,9.0
980.0,6865,4529.0,331,,1002.0,2.0,5.0,,0.0,10.0
1016.0,6862,530.0,44,,,,,,0.0,8.0
1017.0,6862,6603.0,44,,1212.0,1.0,1.0,,0.0,9.0
1018.0,6862,593.0,44,,1254.0,1.0,1.0,,0.0,9.0
1019.0,6862,592.0,44,,1333.0,2.0,,1.0,0.0,9.0
1020.0,6862,589.0,44,,1418.0,6.0,5.0,,0.0,9.0
1021.0,6862,6495.0,44,,773.0,,1.0,,0.0,9.0
1022.0,6862,585.0,44,,802.0,,2.0,,0.0,10.0
1023.0,6862,597.0,44,,798.0,,3.0,,0.0,10.0
1024.0,6862,853.0,44,,747.0,2.0,5.0,,0.0,10.0
1025.0,6862,725.0,44,,846.0,1.0,2.0,,0.0,10.0
1026.0,6862,6496.0,44,,895.0,,6.0,,0.0,10.0
1027.0,6862,7114.0,44,,925.0,1.0,1.0,,0.0,10.0
1028.0,6862,6289.0,44,,884.0,2.0,5.0,,0.0,10.0
1029.0,6862,590.0,44,,747.0,1.0,2.0,,0.0,9.0
1030.0,6862,2309.0,129,,,,,,0.0,8.0
1031.0,6862,1254.0,129,,1063.0,,1.0,,0.0,9.0
1032.0,6862,1242.0,129,,688.0,,,2.0,0.0,9.0
1033.0,6862,7111.0,129,,366.0,,1.0,,0.0,9.0
1034.0,6862,2871.0,129,,610.0,,,1.0,0.0,9.0
1035.0,6862,3697.0,129,,997.0,,1.0,,0.0,9.0
1036.0,6862,730.0,129,,913.0,,2.0,,0.0,9.0
1037.0,6862,4969.0,129,,350.0,,1.0,1.0,0.0,9.0
1038.0,6862,4337.0,129,,768.0,1.0,,,0.0,10.0
1039.0,6862,5692.0,129,,708.0,,,,0.0,10.0
1040.0,6862,1253.0,129,,1203.0,2.0,4.0,,0.0,10.0
1041.0,6862,1249.0,129,,1109.0,1.0,2.0,,0.0,10.0
1042.0,6862,5693.0,129,,544.0,,1.0,,0.0,10.0
1043.0,6862,1250.0,129,,828.0,1.0,2.0,,0.0,10.0
1044.0,6862,1244.0,129,,643.0,,1.0,,0.0,10.0
1045.0,6862,4578.0,129,,469.0,,1.0,,0.0,10.0
1046.0,6864,4246.0,11,,,,,,0.0,8.0
1047.0,6864,116.0,11,,1563.0,,1.0,1.0,0.0,9.0
1048.0,6864,2771.0,11,,1023.0,1.0,,,0.0,9.0
1049.0,6864,815.0,11,,1249.0,,1.0,,0.0,9.0
1050.0,6864,812.0,11,,1076.0,,,1.0,0.0,9.0
1051.0,6864,215.0,11,,1030.0,,1.0,,0.0,9.0
1052.0,6864,4577.0,11,,795.0,1.0,6.0,,0.0,10.0
1053.0,6864,522.0,11,,927.0,1.0,2.0,,0.0,10.0
1054.0,6864,214.0,11,,898.0,2.0,5.0,,0.0,10.0
1055.0,6864,122.0,11,,918.0,,3.0,1.0,0.0,10.0
1056.0,6864,950.0,11,,1116.0,,1.0,1.0,0.0,10.0
1057.0,6864,4214.0,11,,1066.0,,2.0,,0.0,10.0
1058.0,6864,4213.0,11,,840.0,,,1.0,0.0,10.0
1059.0,6864,4209.0,199,,,,,,0.0,8.0
1060.0,6864,4336.0,199,,1178.0,1.0,3.0,1.0,11.0,9.0
1061.0,6864,1546.0,199,,568.0,1.0,,,0.0,9.0
1062.0,6864,1157.0,199,,666.0,,,1.0,0.0,9.0
1063.0,6864,3635.0,199,,635.0,,1.0,,0.0,9.0
1064.0,6864,4575.0,199,,899.0,3.0,,,0.0,10.0
1065.0,6864,6487.0,199,,1088.0,3.0,4.0,,0.0,10.0
1066.0,6864,4222.0,199,,1137.0,4.0,1.0,,0.0,10.0
1067.0,6864,6537.0,199,,1035.0,,3.0,,0.0,10.0
1068.0,6864,4219.0,199,,996.0,,2.0,,0.0,10.0
1069.0,6864,4216.0,199,,589.0,,,,0.0,10.0
1070.0,6864,7783.0,199,,699.0,,2.0,,0.0,10.0
1071.0,6864,147.0,199,,741.0,1.0,1.0,1.0,0.0,10.0
1072.0,6864,4221.0,199,,758.0,1.0,,,0.0,10.0
1073.0,6864,406.0,199,,792.0,2.0,4.0,,0.0,10.0
1074.0,6864,2741.0,199,,818.0,2.0,2.0,,0.0,10.0
1075.0,6864,3990.0,11,,,,,,0.0,9.0
1076.0,6864,115.0,11,,1068.0,1.0,2.0,,0.0,10.0
1077.0,6797,1308.0,409,,,,,,11.0,8.0
1078.0,6797,402.0,409,,929.0,,1.0,,0.0,9.0
1079.0,6797,7028.0,409,,904.0,,1.0,,0.0,9.0
1080.0,6797,5719.0,409,,976.0,3.0,,1.0,0.0,9.0
1081.0,6797,3487.0,409,,676.0,2.0,2.0,,11.0,9.0
1082.0,6797,2490.0,409,,840.0,2.0,,1.0,0.0,9.0
1083.0,6797,5638.0,409,,687.0,1.0,2.0,1.0,0.0,9.0
1084.0,6797,952.0,409,,845.0,3.0,4.0,,0.0,10.0
1085.0,6797,410.0,409,,989.0,,3.0,,0.0,10.0
1086.0,6797,6124.0,409,,771.0,2.0,2.0,,0.0,9.0
1087.0,6797,7025.0,409,,839.0,,1.0,,0.0,10.0
1088.0,6797,859.0,409,,946.0,,2.0,,0.0,10.0
1089.0,6797,4488.0,409,,932.0,3.0,7.0,,0.0,10.0
1090.0,6797,4267.0,409,,649.0,,1.0,,0.0,10.0
1091.0,6797,64.0,409,,724.0,1.0,2.0,,0.0,10.0
1092.0,6797,6811.0,409,,277.0,,,,0.0,10.0
1093.0,6797,7029.0,409,,679.0,2.0,,,0.0,10.0
1094.0,6797,3428.0,138,,,,,,0.0,8.0
1095.0,6797,4279.0,138,,761.0,,1.0,1.0,0.0,9.0
1096.0,6797,6519.0,138,,1010.0,1.0,1.0,,0.0,9.0
1097.0,6797,288.0,138,,595.0,1.0,,,0.0,10.0
1098.0,6797,6333.0,138,,858.0,,2.0,,10.0,9.0
1099.0,6797,6146.0,138,,855.0,,1.0,1.0,0.0,10.0
1100.0,6797,6213.0,138,,1018.0,2.0,4.0,,0.0,10.0
1101.0,6797,1024.0,138,,724.0,1.0,,1.0,0.0,10.0
1102.0,6797,6508.0,138,,561.0,1.0,4.0,,0.0,10.0
1103.0,6797,6513.0,138,,1012.0,,7.0,,0.0,10.0
1104.0,6797,6512.0,138,,1006.0,1.0,,1.0,0.0,10.0
1105.0,6797,5387.0,138,,915.0,1.0,2.0,1.0,0.0,10.0
1106.0,6797,7204.0,138,,691.0,1.0,1.0,,0.0,10.0
1107.0,6797,5276.0,138,,943.0,1.0,1.0,,0.0,10.0
1108.0,6797,1026.0,138,,930.0,2.0,5.0,1.0,0.0,10.0
1109.0,6797,6514.0,138,,940.0,,2.0,,0.0,10.0
1110.0,6863,6265.0,335,,,,,,0.0,8.0
1111.0,6863,5726.0,335,,1394.0,,1.0,,0.0,10.0
1112.0,6863,4200.0,335,,590.0,,,,0.0,9.0
1113.0,6863,7795.0,335,,767.0,1.0,,,0.0,9.0
1114.0,6863,5731.0,335,,791.0,3.0,1.0,3.0,0.0,9.0
1115.0,6863,7798.0,335,,677.0,1.0,,,0.0,9.0
1116.0,6863,7629.0,335,,913.0,2.0,,,0.0,10.0
1117.0,6863,7794.0,335,,1127.0,2.0,2.0,,0.0,10.0
1118.0,6863,6217.0,335,,939.0,1.0,10.0,1.0,0.0,10.0
1119.0,6863,5728.0,335,,520.0,,1.0,2.0,0.0,9.0
1120.0,6863,3037.0,335,,513.0,,,,0.0,10.0
1121.0,6863,5725.0,335,,787.0,2.0,2.0,,0.0,10.0
1122.0,6863,6431.0,335,,1225.0,9.0,3.0,,0.0,10.0
