ID game,ID team,ID player,pl_rating
12119,35.00,1493.00,0.00
12119,35.00,988.00,0.00
12119,35.00,3145.00,0.00
12119,35.00,3449.00,0.00
12119,35.00,6219.00,0.00
12119,35.00,6538.00,0.00
12119,35.00,184.00,0.00
12119,35.00,5124.00,0.00
12119,31.00,697.00,0.00
12119,31.00,694.00,0.00
12119,31.00,696.00,0.00
12119,31.00,2894.00,0.00
12119,31.00,1229.00,0.00
12119,31.00,1121.00,0.00
12119,31.00,187.00,0.00
12119,31.00,648.00,0.00
12119,31.00,4489.00,0.00
12119,31.00,1116.00,0.00
12119,31.00,6141.00,0.00
12119,31.00,4880.00,0.00
12119,31.00,22.00,0.00
12119,35.00,5751.00,0.00
12119,31.00,7542.00,0.00
12120,584.00,8061.00,0.00
12120,584.00,10927.00,0.00
12120,584.00,5530.00,0.00
