ID game,ID team,rating,date,old_rating
<<<<<<< HEAD
10608,332.0,0.01,2024-06-02,767.4
10608,566.0,0.02,2024-06-02,209.79
10609,405.0,0.02,2024-06-02,382.7
10609,489.0,0.01,2024-06-02,-83.49
10611,411.0,0.02,2024-06-02,200.88
10611,565.0,0.02,2024-06-02,884.33
10612,375.0,0.01,2024-06-02,197.31
10612,545.0,0.03,2024-06-02,-1114.39
10613,449.0,0.02,2024-06-02,-78.2
10613,501.0,0.02,2024-06-02,6.78
10616,331.0,0.01,2024-06-02,35.09
10616,567.0,0.01,2024-06-02,869.12
10623,63.0,578.3,2024-06-08,0.01
10623,333.0,706.45,2024-06-08,337.02
10624,393.0,89.57,2024-06-08,0.01
10624,452.0,73.27,2024-06-08,0.01
10628,26.0,-97.26,2024-06-08,0.02
10628,504.0,-289.06,2024-06-08,0.02
10629,65.0,392.38,2024-06-08,175.18
10629,332.0,164.18,2024-06-08,0.01
10630,215.0,26.27,2024-06-08,0.02
10630,566.0,-20.53,2024-06-08,0.02
10631,405.0,603.18,2024-06-08,0.02
10631,411.0,151.3,2024-06-08,0.02
10632,129.0,619.68,2024-06-08,0.01
10632,406.0,-324.81,2024-06-08,125.42
10635,176.0,-231.63,2024-06-08,246.33
10635,532.0,-11.64,2024-06-08,-2.19
10637,44.0,299.19,2024-06-08,0.01
10637,439.0,181.66,2024-06-08,708.73
10638,24.0,449.69,2024-06-08,0.02
10638,331.0,-292.53,2024-06-08,0.01
10621,443.0,6.34,2024-06-09,0.01
10621,564.0,160.7,2024-06-09,0.01
10622,1.0,743.86,2024-06-09,555.12
10622,214.0,180.16,2024-06-09,0.02
10633,400.0,277.7,2024-06-09,0.01
10633,565.0,-0.19,2024-06-09,0.02
10634,375.0,933.96,2024-06-09,0.01
10634,451.0,-185.99,2024-06-09,0.02
10636,335.0,-46.75,2024-06-09,-286.85
10636,567.0,186.68,2024-06-09,0.01
10639,23.0,244.89,2024-06-09,272.71
10639,404.0,173.4,2024-06-09,0.01
10640,189.0,-93.64,2024-06-09,0.01
10640,438.0,1042.15,2024-06-09,0.01
10626,63.0,391.76,2024-06-15,578.3
10626,452.0,376.12,2024-06-15,73.27
10645,24.0,542.55,2024-06-15,449.69
10645,439.0,295.67,2024-06-15,181.66
10650,65.0,379.67,2024-06-15,392.38
10650,504.0,-158.25,2024-06-15,-289.06
10651,26.0,-242.93,2024-06-15,-97.26
10651,566.0,140.69,2024-06-15,-20.53
10652,215.0,139.22,2024-06-15,26.27
10652,332.0,685.38,2024-06-15,164.18
10654,129.0,371.92,2024-06-15,619.68
10654,411.0,240.09,2024-06-15,151.3
10656,449.0,220.17,2024-06-15,0.02
10656,568.0,536.61,2024-06-15,0.02
10657,375.0,551.31,2024-06-15,933.96
10657,501.0,67.0,2024-06-15,0.02
10659,176.0,-120.84,2024-06-15,-231.63
10659,451.0,-581.05,2024-06-15,-185.99
10619,1.0,317.35,2024-06-16,743.86
10619,29.0,559.22,2024-06-16,0.01
10620,214.0,-46.16,2024-06-16,180.16
10620,443.0,-38.55,2024-06-16,6.34
10625,333.0,299.7,2024-06-16,706.45
10625,452.0,349.54,2024-06-16,376.12
10641,44.0,185.32,2024-06-16,299.19
10641,335.0,-334.72,2024-06-16,-46.75
10642,189.0,-269.11,2024-06-16,-93.64
10642,490.0,469.48,2024-06-16,0.01
10643,23.0,212.94,2024-06-16,244.89
10643,438.0,989.45,2024-06-16,1042.15
10644,402.0,380.55,2024-06-16,0.01
10644,404.0,-40.8,2024-06-16,173.4
10653,489.0,359.56,2024-06-16,0.01
10653,565.0,530.39,2024-06-16,-0.19
10655,400.0,102.76,2024-06-16,277.7
10655,406.0,67.03,2024-06-16,-324.81
10658,532.0,8.33,2024-06-16,-11.64
10658,545.0,-860.72,2024-06-16,0.03
10618,1.0,630.3,2024-06-19,317.35
10618,564.0,-32.78,2024-06-19,160.7
10617,29.0,771.04,2024-06-22,559.22
10617,214.0,150.29,2024-06-22,-46.16
10648,24.0,446.05,2024-06-22,542.55
10648,567.0,643.76,2024-06-22,186.68
10661,26.0,-474.63,2024-06-22,-242.93
10661,65.0,448.41,2024-06-22,379.67
10662,400.0,87.32,2024-06-22,102.76
10662,411.0,130.73,2024-06-22,240.09
10663,215.0,193.79,2024-06-22,139.22
10663,504.0,-484.04,2024-06-22,-158.25
10664,129.0,394.85,2024-06-22,371.92
10664,405.0,352.5,2024-06-22,603.18
10673,176.0,174.28,2024-06-22,-120.84
10673,568.0,653.1,2024-06-22,536.61
10627,239.0,540.59,2024-06-23,0.02
10627,333.0,687.02,2024-06-23,299.7
10647,23.0,344.66,2024-06-23,212.94
10647,402.0,621.31,2024-06-23,380.55
10649,44.0,405.88,2024-06-23,185.32
10649,331.0,-256.58,2024-06-23,-292.53
10660,502.0,58.08,2024-06-23,0.01
10660,566.0,239.88,2024-06-23,140.69
10665,406.0,106.4,2024-06-23,67.03
10665,489.0,144.19,2024-06-23,359.56
10674,375.0,497.63,2024-06-23,551.31
10674,532.0,-124.45,2024-06-23,8.33
10675,449.0,118.03,2024-06-23,220.17
10675,451.0,-583.0,2024-06-23,-581.05
10676,501.0,-30.7,2024-06-23,67.0
10676,545.0,-729.14,2024-06-23,-860.72
10666,26.0,68.36,2024-06-29,-474.63
10666,502.0,3.98,2024-06-29,58.08
10669,332.0,558.7,2024-06-29,685.38
10669,504.0,-420.69,2024-06-29,-484.04
10672,405.0,383.14,2024-06-29,352.5
10672,406.0,278.14,2024-06-29,106.4
10677,29.0,1047.45,2024-06-29,771.04
10677,214.0,196.88,2024-06-29,150.29
10678,1.0,654.48,2024-06-29,630.3
10678,443.0,86.37,2024-06-29,-38.55
10679,239.0,574.79,2024-06-29,540.59
10679,452.0,217.73,2024-06-29,349.54
10680,333.0,293.6,2024-06-29,687.02
10680,393.0,126.01,2024-06-29,89.57
10682,402.0,591.44,2024-06-29,621.31
10682,567.0,907.17,2024-06-29,643.76
10686,176.0,267.96,2024-06-29,174.28
10686,532.0,-7.0,2024-06-29,-124.45
10687,451.0,-37.26,2024-06-29,-583.0
10687,501.0,59.93,2024-06-29,-30.7
10667,65.0,377.59,2024-06-30,448.41
10667,566.0,243.64,2024-06-30,239.88
10668,215.0,259.65,2024-06-30,193.79
10668,502.0,102.49,2024-06-30,3.98
10670,129.0,494.65,2024-06-30,394.85
10670,565.0,565.09,2024-06-30,530.39
10671,400.0,267.42,2024-06-30,87.32
10671,489.0,-314.4,2024-06-30,144.19
10681,24.0,404.62,2024-06-30,446.05
10681,490.0,223.5,2024-06-30,469.48
10683,335.0,-138.94,2024-06-30,-334.72
10683,438.0,856.69,2024-06-30,989.45
10684,23.0,437.59,2024-06-30,344.66
10684,44.0,450.07,2024-06-30,405.88
10685,375.0,438.85,2024-06-30,497.63
10685,568.0,824.5,2024-06-30,653.1
10688,29.0,678.04,2024-06-30,1047.45
10688,443.0,148.0,2024-06-30,86.37
10689,393.0,164.82,2024-06-30,126.01
10689,452.0,290.5,2024-06-30,217.73
10690,1.0,527.22,2024-06-30,654.48
10690,214.0,186.76,2024-06-30,196.88
10692,504.0,0.02,2024-07-06,-420.69
10692,565.0,0.02,2024-07-06,565.09
10697,215.0,-143.26,2024-07-06,259.65
10697,411.0,228.56,2024-07-06,130.73
10698,44.0,192.56,2024-07-06,450.07
10698,438.0,840.88,2024-07-06,856.69
10699,402.0,122.74,2024-07-06,591.44
10699,490.0,125.52,2024-07-06,223.5
10691,239.0,533.42,2024-07-07,574.79
10691,333.0,222.32,2024-07-07,293.6
10693,65.0,0.02,2024-07-07,377.59
10693,129.0,346.97,2024-07-07,494.65
10694,405.0,404.93,2024-07-07,383.14
10694,566.0,0.02,2024-07-07,243.64
10695,400.0,196.74,2024-07-07,267.42
10695,502.0,-116.97,2024-07-07,102.49
10696,332.0,114.64,2024-07-07,558.7
10696,489.0,126.7,2024-07-07,-314.4
10700,438.0,777.87,2024-07-07,840.88
10700,490.0,244.53,2024-07-07,125.52
10701,44.0,-84.0,2024-07-07,192.56
10701,402.0,146.07,2024-07-07,122.74
10702,332.0,356.47,2024-07-13,114.64
10702,406.0,23.48,2024-07-13,278.14
10703,26.0,-79.86,2024-07-13,68.36
10703,411.0,192.71,2024-07-13,228.56
10704,129.0,285.6,2024-07-13,346.97
10704,400.0,320.94,2024-07-13,196.74
10705,405.0,659.78,2024-07-13,404.93
10705,565.0,21.52,2024-07-13,0.02
10706,406.0,-82.68,2024-07-14,23.48
10706,411.0,262.33,2024-07-14,192.71
10707,129.0,228.1,2024-07-14,285.6
10707,565.0,21.44,2024-07-14,21.52
10708,400.0,315.13,2024-07-14,320.94
10708,405.0,486.28,2024-07-14,659.78
10809,130.0,464.35,2024-09-07,610.29
10809,400.0,-43.7,2024-09-07,315.13
10813,504.0,-6.83,2024-09-07,0.02
10813,570.0,-122.96,2024-09-07,0.0
10814,331.0,-36.42,2024-09-07,-256.58
10814,566.0,0.02,2024-09-07,0.02
10815,448.0,431.21,2024-09-07,109.47
10815,502.0,-293.08,2024-09-07,-116.97
10819,329.0,-123.91,2024-09-07,81.41
10819,438.0,479.19,2024-09-07,777.87
10822,446.0,249.84,2024-09-07,334.61
10822,569.0,172.2,2024-09-07,0.0
10823,38.0,76.8,2024-09-07,-378.73
10823,205.0,502.01,2024-09-07,538.51
10827,109.0,-260.58,2024-09-07,-191.13
10827,408.0,1020.12,2024-09-07,768.0
10715,17.0,372.78,2024-09-08,438.98
10715,29.0,663.38,2024-09-08,678.04
10716,56.0,302.4,2024-09-08,645.92
10716,564.0,35.87,2024-09-08,-32.78
10717,4.0,-178.27,2024-09-08,-454.28
10717,580.0,0.02,2024-09-08,0.0
10738,31.0,174.77,2024-09-08,283.02
10738,494.0,475.82,2024-09-08,834.2
10739,92.0,85.21,2024-09-08,318.86
10739,333.0,533.99,2024-09-08,222.32
10740,15.0,49.57,2024-09-08,-97.15
10740,452.0,241.28,2024-09-08,290.5
10741,35.0,575.43,2024-09-08,603.45
10741,393.0,-90.69,2024-09-08,164.82
10801,449.0,121.18,2024-09-08,118.03
10801,501.0,96.0,2024-09-08,59.93
10804,245.0,39.87,2024-09-08,0.0
10804,489.0,472.87,2024-09-08,126.7
10805,216.0,-95.66,2024-09-08,-35.51
10805,574.0,-112.53,2024-09-08,0.0
10806,176.0,-356.99,2024-09-08,267.96
10806,439.0,424.45,2024-09-08,295.67
10807,215.0,246.93,2024-09-08,-143.26
10807,499.0,-143.53,2024-09-08,41.9
10810,431.0,531.12,2024-09-08,354.97
10810,445.0,-498.34,2024-09-08,0.02
10812,332.0,21.26,2024-09-08,356.47
10812,577.0,220.68,2024-09-08,0.0
10817,65.0,409.95,2024-09-08,0.02
10817,405.0,498.4,2024-09-08,486.28
10818,44.0,154.31,2024-09-08,-84.0
10818,498.0,361.41,2024-09-08,680.36
10826,48.0,816.41,2024-09-08,825.31
10826,379.0,71.42,2024-09-08,2.91
10828,335.0,-73.67,2024-09-08,-138.94
10828,440.0,113.43,2024-09-08,523.06
10829,239.0,495.95,2024-09-08,533.42
10829,443.0,81.17,2024-09-08,148.0
10832,8.0,-55.32,2024-09-08,0.01
10832,491.0,19.0,2024-09-08,216.03
10718,29.0,624.43,2024-09-14,663.38
10718,573.0,0.01,2024-09-14,0.0
10722,17.0,838.14,2024-09-14,372.78
10722,564.0,113.26,2024-09-14,35.87
10839,401.0,-340.38,2024-09-14,-679.27
10839,453.0,-605.43,2024-09-14,-826.24
10842,130.0,788.18,2024-09-14,464.35
10842,398.0,356.96,2024-09-14,1020.84
10848,65.0,42.77,2024-09-14,409.95
10848,331.0,-209.45,2024-09-14,-36.42
10851,566.0,412.94,2024-09-14,0.02
10851,577.0,72.44,2024-09-14,220.68
10853,26.0,-523.86,2024-09-14,-79.86
10853,569.0,136.39,2024-09-14,172.2
10854,38.0,-690.68,2024-09-14,76.8
10854,397.0,1071.87,2024-09-14,707.55
10864,208.0,-113.44,2024-09-14,-252.02
10864,410.0,-160.96,2024-09-14,-487.07
10866,207.0,-36.47,2024-09-14,52.86
10866,336.0,158.27,2024-09-14,87.26
10867,109.0,-125.46,2024-09-14,-260.58
10867,497.0,531.12,2024-09-14,106.55
10713,4.0,-579.16,2024-09-15,-178.27
10713,447.0,-222.16,2024-09-15,-338.44
10719,29.0,658.01,2024-09-15,624.43
10719,573.0,547.16,2024-09-15,0.01
10721,56.0,508.95,2024-09-15,302.4
10721,505.0,274.36,2024-09-15,-216.41
10723,578.0,390.62,2024-09-15,0.0
10723,580.0,585.66,2024-09-15,0.02
10742,31.0,457.51,2024-09-15,174.77
10742,92.0,30.16,2024-09-15,85.21
10745,494.0,691.48,2024-09-15,475.82
10745,579.0,72.67,2024-09-15,0.0
10831,63.0,286.68,2024-09-15,391.76
10831,111.0,214.0,2024-09-15,377.6
10838,245.0,200.12,2024-09-15,39.87
10838,451.0,-697.85,2024-09-15,-37.26
10840,104.0,390.27,2024-09-15,0.01
10840,449.0,167.24,2024-09-15,121.18
