ID game,ID team,ID player,missed pucks,total throws,% of reflected shots
7268.00,403.00,195.00,9.00,34.00,73.53
7275.00,438.00,6325.00,1.00,18.00,94.44
7275.00,404.00,5090.00,7.00,29.00,75.86
7268.00,441.00,7924.00,1.00,25.00,96.00
7286.00,400.00,8040.00,2.00,36.00,94.44
7286.00,439.00,7816.00,1.00,15.00,93.33
7272.00,205.00,1046.00,0.00,13.00,100.00
7266.00,214.00,8012.00,2.00,19.00,89.47
7266.00,64.00,5769.00,4.00,33.00,87.88
7288.00,63.00,7222.00,3.00,24.00,87.50
7288.00,409.00,1308.00,5.00,31.00,83.87
7265.00,129.00,5694.00,4.00,35.00,88.57
7265.00,23.00,7144.00,3.00,25.00,88.00
6995.00,1.00,4372.00,3.00,38.00,92.11
7276.00,176.00,5509.00,4.00,32.00,87.50
7276.00,130.00,5694.00,1.00,16.00,93.75
7283.00,44.00,5516.00,5.00,22.00,77.27
7283.00,38.00,4603.00,1.00,21.00,95.24
7273.00,445.00,7618.00,6.00,37.00,83.78
7267.00,440.00,5123.00,6.00,44.00,86.36
7267.00,335.00,6265.00,3.00,27.00,88.89
6994.00,56.00,995.00,7.00,37.00,81.08
6994.00,46.00,5751.00,6.00,40.00,85.00
7290.00,449.00,1194.00,8.00,38.00,78.95
7290.00,451.00,573.00,0.00,14.00,100.00
7065.00,15.00,7519.00,5.00,27.00,81.48
7065.00,399.00,7472.00,7.00,47.00,85.11
6993.00,447.00,1598.00,4.00,22.00,81.82
6993.00,4.00,1376.00,1.00,20.00,95.00
6992.00,17.00,997.00,2.00,36.00,94.44
6992.00,49.00,222.00,3.00,28.00,89.29
7262.00,379.00,6600.00,0.00,28.00,100.00
7262.00,131.00,520.00,3.00,36.00,91.67
7285.00,375.00,5639.00,5.00,34.00,85.29
7285.00,397.00,4603.00,6.00,23.00,73.91
7068.00,31.00,995.00,3.00,21.00,85.71
7068.00,35.00,222.00,4.00,33.00,87.88
7284.00,407.00,416.00,4.00,23.00,82.61
7284.00,110.00,569.00,6.00,45.00,86.67
6996.00,442.00,7850.00,5.00,18.00,72.22
6996.00,29.00,7821.00,0.00,34.00,100.00
7282.00,402.00,8020.00,4.00,22.00,81.82
7282.00,189.00,5121.00,3.00,25.00,88.00
7066.00,452.00,7821.00,3.00,36.00,91.67
7066.00,239.00,938.00,2.00,28.00,92.86
7289.00,405.00,4482.00,5.00,23.00,78.26
7289.00,450.00,4391.00,2.00,27.00,92.59
7271.00,104.00,8012.00,1.00,18.00,94.44
6999.00,49.00,222.00,3.00,20.00,85.00
6999.00,46.00,5751.00,4.00,18.00,77.78
7313.00,446.00,7979.00,5.00,22.00,77.27
7313.00,404.00,7144.00,1.00,12.00,91.67
7291.00,110.00,569.00,5.00,27.00,81.48
7291.00,26.00,2459.00,4.00,18.00,77.78
7295.00,109.00,3075.00,5.00,20.00,75.00
7295.00,208.00,979.00,4.00,29.00,86.21
6998.00,56.00,995.00,5.00,19.00,73.68
6998.00,29.00,673.00,10.00,53.00,81.13
7300.00,329.00,4246.00,2.00,11.00,81.82
7322.00,397.00,4603.00,0.00,16.00,100.00
7071.00,452.00,673.00,1.00,34.00,97.06
7071.00,35.00,5751.00,3.00,26.00,88.46
7322.00,439.00,7816.00,9.00,24.00,62.50
7309.00,449.00,1194.00,9.00,45.00,80.00
7309.00,130.00,2309.00,0.00,5.00,100.00
7314.00,332.00,8290.00,3.00,17.00,82.35
7314.00,61.00,4410.00,7.00,31.00,77.42
7294.00,48.00,4182.00,7.00,19.00,63.16
7294.00,131.00,520.00,0.00,28.00,100.00
7299.00,408.00,667.00,5.00,14.00,64.29
7299.00,138.00,5123.00,4.00,25.00,84.00
7321.00,451.00,573.00,7.00,31.00,77.42
7302.00,64.00,5769.00,5.00,24.00,79.17
7302.00,403.00,4182.00,3.00,34.00,91.18
7296.00,63.00,7222.00,4.00,36.00,88.89
7296.00,333.00,2478.00,1.00,30.00,96.67
7069.00,15.00,7519.00,2.00,23.00,91.30
7069.00,31.00,7542.00,3.00,33.00,90.91
7000.00,447.00,1598.00,2.00,33.00,93.94
7000.00,442.00,7850.00,3.00,28.00,89.29
7293.00,379.00,6600.00,1.00,25.00,96.00
7293.00,409.00,740.00,4.00,38.00,89.47
7298.00,450.00,4933.00,1.00,19.00,94.74
7298.00,200.00,4256.00,3.00,18.00,83.33
7315.00,176.00,5509.00,2.00,17.00,88.24
7315.00,431.00,6871.00,3.00,13.00,76.92
7303.00,440.00,5123.00,5.00,29.00,82.76
7303.00,23.00,2559.00,4.00,32.00,87.50
6997.00,17.00,997.00,2.00,27.00,92.59
6997.00,4.00,998.00,3.00,32.00,90.62
7317.00,438.00,6325.00,5.00,22.00,77.27
7317.00,65.00,5774.00,7.00,35.00,80.00
7308.00,22.00,4435.00,6.00,33.00,81.82
7308.00,129.00,2309.00,1.00,13.00,92.31
7305.00,132.00,3977.00,6.00,21.00,71.43
7305.00,205.00,1046.00,0.00,13.00,100.00
7311.00,8.00,7620.00,4.00,20.00,80.00
7311.00,402.00,1534.00,5.00,20.00,75.00
7070.00,396.00,6488.00,6.00,31.00,80.65
7070.00,399.00,7472.00,5.00,35.00,85.71
7072.00,12.00,6605.00,8.00,43.00,81.40
7301.00,405.00,1202.00,8.00,22.00,63.64
7301.00,211.00,2458.00,3.00,22.00,86.36
7318.00,104.00,8012.00,1.00,16.00,93.75
7318.00,215.00,5219.00,2.00,18.00,88.89
7306.00,441.00,7924.00,4.00,25.00,84.00
7306.00,335.00,6265.00,1.00,22.00,95.45
7297.00,443.00,7801.00,7.00,35.00,80.00
7297.00,53.00,1311.00,6.00,29.00,79.31
7312.00,269.00,4360.00,0.00,14.00,100.00
7312.00,189.00,8048.00,5.00,23.00,78.26
7319.00,411.00,5723.00,3.00,12.00,75.00
7319.00,375.00,5639.00,2.00,28.00,92.86
7307.00,406.00,7837.00,0.00,16.00,100.00
7307.00,445.00,7620.00,13.00,33.00,60.61
7320.00,453.00,7934.00,7.00,18.00,61.11
7320.00,401.00,1176.00,2.00,17.00,88.24
7316.00,38.00,5779.00,4.00,13.00,69.23
7316.00,207.00,908.00,3.00,40.00,92.50
7292.00,26.00,2459.00,2.00,23.00,91.30
7292.00,8.00,1557.00,1.00,22.00,95.45
7344.00,215.00,16.00,3.00,22.00,86.36
7344.00,132.00,339.00,2.00,25.00,92.00
7336.00,130.00,5694.00,5.00,17.00,70.59
7336.00,431.00,5123.00,2.00,24.00,91.67
7331.00,333.00,938.00,3.00,39.00,92.31
7331.00,208.00,979.00,6.00,19.00,68.42
7349.00,332.00,1194.00,8.00,28.00,71.43
7335.00,129.00,2309.00,1.00,19.00,94.74
7335.00,214.00,4565.00,4.00,25.00,84.00
7340.00,336.00,1557.00,1.00,12.00,91.67
7340.00,403.00,195.00,3.00,27.00,88.89
7353.00,404.00,5090.00,8.00,36.00,77.78
7353.00,406.00,6923.00,4.00,16.00,75.00
7347.00,448.00,7966.00,6.00,29.00,79.31
7345.00,331.00,217.00,5.00,11.00,54.55
7345.00,110.00,569.00,3.00,30.00,90.00
7347.00,407.00,416.00,2.00,32.00,93.75
7350.00,61.00,8318.00,4.00,33.00,87.88
7350.00,438.00,4300.00,5.00,21.00,76.19
7334.00,187.00,3717.00,2.00,38.00,94.74
7334.00,131.00,4246.00,5.00,21.00,76.19
7332.00,48.00,4182.00,1.00,25.00,96.00
7332.00,191.00,6599.00,3.00,14.00,78.57
7001.00,17.00,997.00,2.00,28.00,92.86
7001.00,46.00,5751.00,3.00,23.00,86.96
7002.00,1.00,4372.00,5.00,25.00,80.00
7002.00,56.00,995.00,3.00,28.00,89.29
7351.00,449.00,1194.00,4.00,31.00,87.10
7351.00,400.00,7809.00,3.00,24.00,87.50
7346.00,207.00,4545.00,7.00,22.00,68.18
7346.00,402.00,8020.00,3.00,12.00,75.00
7352.00,451.00,573.00,6.00,43.00,86.05
7338.00,176.00,5509.00,3.00,21.00,85.71
7338.00,401.00,6045.00,9.00,39.00,76.92
7337.00,23.00,2559.00,11.00,34.00,67.65
7337.00,335.00,6265.00,5.00,13.00,61.54
7355.00,411.00,7801.00,6.00,17.00,64.71
7355.00,439.00,7816.00,3.00,20.00,85.00
7342.00,104.00,8012.00,3.00,22.00,86.36
7342.00,216.00,7625.00,5.00,35.00,85.71
7354.00,375.00,4360.00,1.00,10.00,90.00
7354.00,453.00,7934.00,10.00,44.00,77.27
7004.00,29.00,673.00,2.00,41.00,95.12
7004.00,447.00,1598.00,3.00,15.00,80.00
7003.00,49.00,222.00,3.00,25.00,88.00
7003.00,442.00,7850.00,4.00,24.00,83.33
7339.00,22.00,4435.00,6.00,22.00,72.73
7339.00,440.00,5123.00,2.00,23.00,91.30
7333.00,191.00,6599.00,2.00,20.00,90.00
7333.00,109.00,3075.00,3.00,34.00,91.18
7074.00,396.00,6488.00,5.00,35.00,85.71
7074.00,35.00,222.00,2.00,18.00,88.89
7341.00,64.00,5769.00,8.00,21.00,61.90
7076.00,399.00,7472.00,8.00,56.00,85.71
7076.00,239.00,2478.00,3.00,26.00,88.46
7348.00,44.00,5516.00,2.00,22.00,90.91
7348.00,269.00,599.00,3.00,27.00,88.89
7343.00,445.00,7620.00,10.00,25.00,60.00
7343.00,205.00,1046.00,2.00,15.00,86.67
7366.00,26.00,1365.00,4.00,20.00,80.00
7366.00,331.00,4524.00,2.00,20.00,90.00
7365.00,441.00,7924.00,1.00,25.00,96.00
7380.00,404.00,7144.00,3.00,26.00,88.46
7367.00,439.00,7816.00,5.00,23.00,78.26
7367.00,130.00,5694.00,3.00,25.00,88.00
7381.00,215.00,5219.00,3.00,29.00,89.66
7381.00,65.00,5774.00,2.00,14.00,85.71
7368.00,129.00,2309.00,1.00,15.00,93.33
7368.00,403.00,1311.00,2.00,27.00,92.59
7372.00,449.00,1194.00,2.00,25.00,92.00
7372.00,401.00,1435.00,4.00,15.00,73.33
7377.00,214.00,8012.00,8.00,49.00,83.67
7377.00,440.00,5123.00,7.00,37.00,81.08
7382.00,446.00,7979.00,4.00,23.00,82.61
7382.00,406.00,7837.00,3.00,14.00,78.57
7375.00,269.00,599.00,6.00,36.00,83.33
7375.00,402.00,5769.00,2.00,12.00,83.33
7362.00,216.00,6584.00,13.00,35.00,62.86
7362.00,438.00,4300.00,5.00,23.00,78.26
7077.00,12.00,6605.00,5.00,38.00,86.84
7077.00,15.00,7519.00,4.00,18.00,77.78
7006.00,17.00,997.00,5.00,34.00,85.29
7006.00,442.00,7850.00,3.00,27.00,88.89
7376.00,407.00,4339.00,7.00,23.00,69.57
7376.00,44.00,5516.00,4.00,24.00,83.33
7356.00,200.00,4257.00,8.00,34.00,76.47
7356.00,53.00,4545.00,0.00,21.00,100.00
7371.00,453.00,7934.00,8.00,27.00,70.37
7373.00,104.00,8012.00,1.00,21.00,95.24
7373.00,332.00,3072.00,4.00,26.00,84.62
7007.00,49.00,222.00,2.00,33.00,93.94
7007.00,29.00,673.00,3.00,34.00,91.18
7008.00,1.00,7472.00,0.00,20.00,100.00
7008.00,447.00,8372.00,10.00,28.00,64.29
7369.00,22.00,4435.00,3.00,35.00,91.43
7369.00,23.00,2559.00,1.00,20.00,95.00
