ID game,ID team,ID opponent,result,GT,timeT,TB_T,ShotT,BT_T,PM_T,As_T,As_T_2,GO,timeO,TB_O,ShotO,BT_O,PM_O,As_O,As_O_2,refl_sh_T,refl_sh_O,ID season,stage,division,date,ELO,ELO_O,E_S,E_S_O,ELO_old,ELO_O_old
7219,205,216,W,9.00,12640.00,24.00,31.00,1.00,30.00,7.00,5.00,0.00,12890.00,12.00,18.00,9.00,-30.00,0.00,0.00,100.00,70.97,67.00,1,4,2022-09-18,1240.58,1083.92,0.67,0.33,1224.50,1100.00
7221,104,406,L,1.00,13334.00,18.00,27.00,6.00,-3.00,0.00,0.00,3.00,12544.00,12.00,13.00,2.00,4.00,2.00,0.00,,96.30,67.00,1,4,2022-09-18,1075.50,1124.50,0.50,0.50,1100.00,1100.00
7222,336,23,L,1.00,12831.00,14.00,25.00,2.00,-10.00,0.00,0.00,3.00,13760.00,14.00,17.00,2.00,10.00,2.00,1.00,82.35,96.00,67.00,1,2,2022-09-18,1275.50,1324.50,0.50,0.50,1300.00,1300.00
7223,335,403,W,9.00,12318.00,33.00,48.00,2.00,30.00,4.00,3.00,2.00,12027.00,7.00,11.00,12.00,-30.00,2.00,2.00,81.82,81.25,67.00,1,2,2022-09-18,1324.50,1275.50,0.50,0.50,1300.00,1300.00
7224,439,449,W,10.00,12893.00,26.00,55.00,1.00,21.00,8.00,1.00,1.00,12737.00,10.00,5.00,15.00,-25.00,0.00,0.00,80.00,80.00,67.00,1,5,2022-09-18,1024.50,975.50,0.50,0.50,1000.00,1000.00
7226,44,189,W,5.00,12563.00,21.00,24.00,6.00,-2.00,5.00,2.00,3.00,12581.00,21.00,14.00,3.00,0.00,2.00,1.00,78.57,79.17,67.00,1,3,2022-09-18,1224.50,1175.50,0.50,0.50,1200.00,1200.00
7227,402,407,W,5.00,12969.00,26.00,31.00,3.00,15.00,4.00,1.00,2.00,12788.00,15.00,19.00,7.00,-14.00,1.00,0.00,89.47,83.87,67.00,1,3,2022-09-18,1224.50,1175.50,0.50,0.50,1200.00,1200.00
7228,176,453,W,7.00,12358.00,33.00,25.00,4.00,33.00,4.00,0.00,0.00,12899.00,9.00,7.00,10.00,-35.00,0.00,0.00,100.00,72.00,67.00,1,5,2022-09-18,1024.50,975.50,0.50,0.50,1000.00,1000.00
7229,375,451,W,7.00,13281.00,41.00,46.00,0.00,35.00,7.00,2.00,0.00,13338.00,7.00,6.00,18.00,-35.00,0.00,0.00,100.00,84.78,67.00,1,5,2022-09-18,1024.50,975.50,0.50,0.50,1000.00,1000.00
7230,8,331,L,4.00,12710.00,12.00,14.00,7.00,-5.00,3.00,1.00,7.00,12787.00,16.00,19.00,2.00,4.00,4.00,2.00,63.16,71.43,67.00,1,3,2022-09-18,1175.50,1224.50,0.50,0.50,1200.00,1200.00
7231,401,400,W,5.00,12934.00,14.00,20.00,1.00,5.00,1.00,0.00,4.00,12804.00,8.00,18.00,4.00,-5.00,2.00,0.00,77.78,75.00,67.00,1,5,2022-09-18,1022.78,952.72,0.54,0.46,1000.00,975.50
7232,22,64,L,4.00,12734.00,27.00,37.00,8.00,-10.00,2.00,0.00,8.00,13349.00,21.00,39.00,9.00,10.00,4.00,0.00,79.49,89.19,67.00,1,2,2022-09-18,1275.50,1324.50,0.50,0.50,1300.00,1300.00
6988,4,442,L,1.00,12636.00,20.00,24.00,11.00,-7.00,1.00,1.00,5.00,12763.00,35.00,35.00,15.00,4.00,4.00,3.00,85.71,95.83,68.00,1,0,2022-09-24,1452.72,1522.78,0.46,0.54,1475.50,1500.00
6989,29,17,W,5.00,13179.00,9.00,28.00,11.00,5.00,4.00,2.00,2.00,13031.00,24.00,48.00,2.00,-5.00,2.00,1.00,95.83,82.14,68.00,1,0,2022-09-24,1522.78,1452.72,0.54,0.46,1500.00,1475.50
7233,407,26,L,3.00,13044.00,19.00,25.00,8.00,-1.00,1.00,0.00,4.00,12783.00,25.00,25.00,14.00,1.00,2.00,1.00,84.00,88.00,67.00,1,3,2022-09-24,1154.43,1245.57,0.43,0.57,1175.50,1224.50
7234,207,331,W,4.00,13153.00,24.00,20.00,8.00,-6.00,4.00,0.00,3.00,13352.00,28.00,26.00,12.00,4.00,1.00,0.00,88.46,80.00,67.00,1,3,2022-09-24,1203.43,1196.57,0.43,0.57,1175.50,1224.50
7235,110,189,W,4.00,12871.00,8.00,15.00,3.00,4.00,1.00,1.00,3.00,12194.00,15.00,28.00,2.00,-6.00,0.00,0.00,89.29,73.33,67.00,1,3,2022-09-24,1200.00,1151.00,0.50,0.50,1175.50,1175.50
7236,405,138,L,2.00,12333.00,5.00,12.00,5.00,-11.00,1.00,0.00,5.00,11460.00,14.00,24.00,4.00,11.00,4.00,4.00,79.17,83.33,67.00,1,1,2022-09-24,1346.11,1334.63,0.60,0.40,1375.50,1305.24
7237,53,410,L,4.00,11758.00,17.00,32.00,11.00,-5.00,3.00,0.00,6.00,12745.00,21.00,27.00,9.00,5.00,6.00,3.00,77.78,,67.00,1,1,2022-09-24,1400.37,1453.87,0.49,0.51,1424.50,1429.74
7238,333,131,W,4.00,12847.00,28.00,32.00,4.00,15.00,4.00,0.00,2.00,12425.00,18.00,27.00,10.00,-14.00,1.00,1.00,92.59,87.50,67.00,1,0,2022-09-24,1547.28,1477.22,0.54,0.46,1524.50,1500.00
7239,191,379,D,5.00,13841.00,26.00,24.00,6.00,0.00,5.00,3.00,5.00,14055.00,23.00,33.00,11.00,0.00,1.00,0.00,81.82,79.17,67.00,1,0,2022-09-24,1497.12,1461.80,0.56,0.44,1500.00,1458.92
7241,404,61,W,3.00,13202.00,20.00,19.00,5.00,0.00,3.00,1.00,2.00,13184.00,17.00,33.00,4.00,0.00,1.00,1.00,93.94,84.21,67.00,1,4,2022-09-24,1161.80,1208.52,0.35,0.65,1129.74,1240.58
7242,332,65,W,7.00,12168.00,29.00,29.00,2.00,4.00,4.00,1.00,4.00,12741.00,11.00,28.00,11.00,-6.00,4.00,1.00,85.71,75.86,67.00,1,4,2022-09-24,1104.89,1116.37,0.40,0.60,1075.50,1145.76
7243,176,449,W,4.00,12598.00,43.00,42.00,6.00,15.00,2.00,0.00,0.00,12967.00,11.00,9.00,24.00,-15.00,0.00,0.00,100.00,,67.00,1,5,2022-09-24,1045.57,954.43,0.57,0.43,1024.50,975.50
7250,453,130,L,0.00,13775.00,6.00,9.00,14.00,-50.00,0.00,0.00,11.00,13374.00,34.00,50.00,1.00,49.00,7.00,1.00,78.00,100.00,67.00,1,5,2022-09-24,954.43,1045.57,0.43,0.57,975.50,1024.50
