ID player,amplua,games,goals,p_goals,assists,p_assists,throws_by,p_throws_by,shot_on_target,p_shot_on_target,blocked_throws,p_blocked_throws,p_m,p_p_m,player_rating
758.0,9.0,14,1.0,7.63,2.0,9.17,11.0,29.53,5.0,14.67,5.0,14.67,-13.0,0.96,76.64
759.0,9.0,37,42.0,120.12,19.0,51.53,122.0,581.38,210.0,1488.34,20.0,53.92,15.0,42.53,2337.82
765.0,9.0,61,15.0,50.8,8.0,38.83,112.0,382.08,152.0,608.53,45.0,120.31,21.0,62.34,1262.89
766.0,9.0,4,1.0,3.36,3.0,8.03,8.0,28.44,7.0,23.36,4.0,11.11,-3.0,0.03,74.33
769.0,9.0,4,2.0,5.44,0.0,1.78,3.0,8.03,4.0,11.11,2.0,5.44,3.0,8.03,39.83
772.0,9.0,8,0.0,3.56,1.0,5.01,15.0,51.68,23.0,100.35,10.0,29.39,-2.0,1.39,191.37
812.0,9.0,8,0.0,3.56,0.0,3.56,3.0,8.68,2.0,6.72,5.0,13.35,2.0,6.72,42.58
815.0,9.0,31,5.0,21.25,7.0,24.69,44.0,134.9,45.0,139.1,18.0,48.23,11.0,32.35,400.52
824.0,9.0,38,1.0,18.25,1.0,18.25,28.0,74.85,23.0,61.48,10.0,32.85,-1.0,15.58,221.26
837.0,9.0,17,1.0,8.95,1.0,8.95,7.0,19.77,9.0,24.32,6.0,17.67,-7.0,1.1,80.76
841.0,9.0,35,7.0,26.29,7.0,26.29,34.0,93.92,70.0,248.89,15.0,41.98,-6.0,8.58,445.95
843.0,9.0,7,1.0,4.59,0.0,3.11,6.0,16.25,12.0,39.68,3.0,8.4,-4.0,0.06,72.1
854.0,9.0,43,16.0,46.4,7.0,29.58,107.0,428.03,125.0,549.15,26.0,69.5,-25.0,0.31,1122.98
857.0,9.0,6,0.0,2.67,1.0,4.17,11.0,37.5,13.0,48.17,1.0,4.17,-9.0,4.17,100.83
860.0,9.0,10,1.0,5.88,0.0,4.44,9.0,24.54,6.0,16.04,3.0,9.34,0.0,4.44,64.7
864.0,9.0,11,3.0,9.71,0.0,4.89,17.0,53.83,16.0,49.49,4.0,11.68,2.0,7.92,137.52
879.0,9.0,49,4.0,27.44,5.0,28.95,57.0,164.08,50.0,139.46,49.0,136.11,-23.0,1.91,497.96
896.0,9.0,5,0.0,2.22,1.0,3.76,6.0,17.42,6.0,17.42,4.0,10.76,1.0,3.76,55.33
910.0,9.0,73,7.0,42.45,5.0,39.45,51.0,136.07,88.0,255.86,51.0,136.07,2.0,35.17,645.08
913.0,9.0,3,1.0,3.0,1.0,3.0,1.0,3.0,5.0,16.33,6.0,21.33,-3.0,0.33,47.0
917.0,9.0,26,4.0,17.5,4.0,17.5,25.0,68.93,43.0,140.0,10.0,28.74,2.0,14.38,287.05
919.0,9.0,31,2.0,16.57,5.0,21.25,29.0,79.57,41.0,122.67,19.0,50.76,12.0,34.42,325.25
940.0,9.0,7,0.0,3.11,1.0,4.59,15.0,55.25,19.0,80.02,1.0,4.59,-11.0,5.73,153.29
942.0,9.0,3,2.0,5.33,1.0,3.0,16.0,108.0,13.0,75.0,0.0,1.33,-5.0,3.0,195.67
946.0,9.0,11,0.0,4.89,1.0,6.31,8.0,21.37,9.0,24.25,5.0,13.83,-17.0,8.49,79.15
960.0,9.0,42,3.0,22.88,3.0,22.88,49.0,141.17,32.0,85.71,19.0,52.6,13.0,40.02,365.26
962.0,9.0,49,2.0,24.53,6.0,30.51,50.0,139.46,45.0,123.1,59.0,171.49,8.0,33.75,522.84
963.0,9.0,37,2.0,19.22,6.0,25.42,62.0,203.0,54.0,167.26,37.0,102.78,18.0,49.2,566.87
964.0,9.0,9,0.0,4.0,4.0,11.11,11.0,32.11,14.0,44.44,4.0,11.11,13.0,40.11,142.89
973.0,9.0,15,2.0,9.6,5.0,15.0,12.0,32.27,16.0,45.07,18.0,52.27,9.0,24.07,178.27
976.0,9.0,32,6.0,23.35,6.0,23.35,30.0,82.35,47.0,145.92,37.0,106.34,23.0,61.42,442.72
977.0,9.0,39,7.0,27.92,9.0,31.41,58.0,180.92,65.0,212.33,15.0,43.1,-11.0,5.77,501.46
981.0,9.0,57,5.0,32.44,9.0,38.75,81.0,248.44,96.0,315.02,100.0,334.11,13.0,45.63,1014.39
986.0,9.0,28,5.0,20.0,5.0,20.0,37.0,110.67,43.0,135.81,16.0,42.92,14.0,38.11,367.52
1000.0,9.0,27,1.0,13.37,3.0,16.33,43.0,137.81,39.0,120.33,30.0,85.33,-38.0,14.81,388.0
1001.0,9.0,37,1.0,17.8,6.0,25.42,33.0,89.88,38.0,106.14,19.0,51.53,-3.0,12.69,303.46
1008.0,9.0,6,0.0,2.67,1.0,4.17,9.0,28.17,10.0,32.67,5.0,13.5,2.0,6.0,87.17
1010.0,9.0,8,0.0,3.56,0.0,3.56,0.0,3.56,1.0,5.01,0.0,3.56,0.0,3.56,22.79
1014.0,9.0,17,0.0,7.56,0.0,7.56,16.0,43.95,33.0,115.61,1.0,8.95,-16.0,1.28,184.9
1017.0,9.0,44,2.0,22.31,5.0,26.79,32.0,85.49,30.0,80.01,79.0,266.73,-54.0,13.83,495.17
1018.0,9.0,12,1.0,6.75,0.0,5.33,5.0,14.08,12.0,33.33,1.0,6.75,-5.0,0.75,67.0
1036.0,9.0,16,0.0,7.11,1.0,8.51,9.0,24.17,2.0,10.03,4.0,13.44,-2.0,4.69,67.96
1038.0,9.0,3,0.0,1.33,0.0,1.33,2.0,5.33,1.0,3.0,5.0,16.33,-11.0,27.0,54.33
1040.0,9.0,2,0.0,0.89,0.0,0.89,18.0,186.89,10.0,64.22,12.0,88.89,-5.0,6.72,348.5
1048.0,9.0,7,4.0,10.73,3.0,8.4,12.0,39.68,18.0,73.4,1.0,4.59,7.0,19.44,156.24
1049.0,9.0,12,0.0,5.33,0.0,5.33,11.0,30.08,5.0,14.08,5.0,14.08,-4.0,1.33,70.25
1054.0,9.0,10,0.0,4.44,1.0,5.88,6.0,16.04,0.0,4.44,8.0,21.51,-1.0,3.21,55.53
1064.0,9.0,25,11.0,30.62,8.0,24.34,109.0,631.68,103.0,572.8,10.0,28.44,14.0,37.62,1325.51
1072.0,9.0,8,1.0,5.01,0.0,3.56,6.0,16.06,8.0,22.22,6.0,16.06,-15.0,11.68,74.58
1073.0,9.0,5,0.0,2.22,0.0,2.22,1.0,3.76,0.0,2.22,4.0,10.76,-4.0,0.09,21.27
1076.0,9.0,4,0.0,1.78,1.0,3.36,12.0,53.78,12.0,53.78,4.0,11.11,1.0,3.36,127.17
1080.0,9.0,5,1.0,3.76,2.0,5.69,12.0,47.02,6.0,17.42,6.0,17.42,4.0,10.76,102.07
1082.0,9.0,23,0.0,10.22,1.0,11.6,12.0,32.48,4.0,16.25,8.0,23.67,-3.0,6.61,100.84
