ID player,amplua,games,goals,assists,assists_2,throws_by,shot_on_target,blocked_throws,p_m
543,10.0,21,13.0,5.0,0.0,15.0,67.0,14.0,2.0
544,9.0,30,3.0,4.0,3.0,32.0,25.0,36.0,-4.0
545,10.0,47,8.0,4.0,2.0,70.0,93.0,19.0,-37.0
551,10.0,27,12.0,3.0,0.0,33.0,80.0,3.0,5.0
554,9.0,16,1.0,3.0,0.0,8.0,16.0,13.0,16.0
556,9.0,15,7.0,6.0,0.0,26.0,41.0,2.0,-7.0
557,10.0,30,3.0,4.0,1.0,57.0,75.0,10.0,-19.0
561,10.0,19,3.0,1.0,0.0,17.0,20.0,4.0,-10.0
562,10.0,19,4.0,3.0,2.0,24.0,52.0,2.0,-13.0
564,9.0,1,0.0,0.0,0.0,0.0,0.0,0.0,-3.0
568,9.0,25,7.0,3.0,2.0,26.0,38.0,20.0,-19.0
570,10.0,18,3.0,4.0,0.0,23.0,25.0,8.0,-23.0
571,9.0,35,0.0,1.0,0.0,21.0,13.0,39.0,-40.0
572,10.0,32,8.0,8.0,2.0,34.0,46.0,5.0,-1.0
577,9.0,37,3.0,8.0,1.0,29.0,15.0,43.0,11.0
578,10.0,35,20.0,10.0,5.0,68.0,132.0,2.0,26.0
583,10.0,32,10.0,5.0,4.0,52.0,73.0,10.0,1.0
585,10.0,45,2.0,5.0,3.0,29.0,46.0,22.0,-36.0
587,9.0,32,1.0,4.0,5.0,25.0,21.0,17.0,8.0
589,9.0,79,19.0,16.0,4.0,164.0,178.0,43.0,50.0
590,9.0,41,8.0,5.0,3.0,86.0,72.0,81.0,-18.0
592,9.0,73,0.0,6.0,5.0,72.0,53.0,59.0,5.0
593,9.0,71,4.0,14.0,5.0,68.0,53.0,28.0,10.0
594,10.0,33,12.0,5.0,0.0,45.0,60.0,15.0,-36.0
595,10.0,13,0.0,1.0,0.0,3.0,4.0,3.0,-2.0
597,10.0,41,19.0,13.0,4.0,70.0,105.0,12.0,3.0
601,10.0,1,0.0,0.0,0.0,3.0,6.0,0.0,3.0
603,10.0,23,15.0,9.0,8.0,48.0,71.0,18.0,29.0
606,9.0,9,2.0,1.0,1.0,17.0,17.0,7.0,-12.0
607,10.0,6,5.0,1.0,1.0,9.0,20.0,1.0,-10.0
610,10.0,47,16.0,13.0,3.0,91.0,126.0,10.0,-18.0
614,10.0,1,1.0,0.0,0.0,4.0,3.0,0.0,1.0
616,9.0,4,0.0,1.0,0.0,0.0,3.0,1.0,-6.0
618,9.0,65,13.0,13.0,5.0,78.0,126.0,49.0,-56.0
619,9.0,59,2.0,7.0,3.0,47.0,45.0,52.0,-29.0
624,10.0,12,0.0,3.0,4.0,11.0,24.0,5.0,6.0
627,10.0,4,0.0,0.0,1.0,11.0,6.0,0.0,-1.0
628,9.0,55,8.0,8.0,2.0,55.0,66.0,33.0,-51.0
633,9.0,16,0.0,2.0,1.0,13.0,8.0,16.0,-8.0
636,9.0,52,1.0,5.0,3.0,61.0,42.0,39.0,-36.0
646,10.0,70,29.0,25.0,5.0,163.0,225.0,13.0,48.0
647,9.0,17,4.0,2.0,1.0,27.0,30.0,9.0,14.0
648,10.0,68,23.0,10.0,5.0,74.0,158.0,6.0,-15.0
650,10.0,35,8.0,3.0,2.0,40.0,63.0,6.0,-14.0
651,10.0,53,15.0,13.0,2.0,68.0,103.0,8.0,-32.0
652,10.0,50,15.0,10.0,5.0,73.0,124.0,15.0,-8.0
654,10.0,70,37.0,36.0,10.0,104.0,193.0,16.0,-35.0
655,9.0,79,1.0,12.0,6.0,55.0,41.0,76.0,21.0
657,10.0,62,12.0,17.0,3.0,85.0,115.0,7.0,-24.0
662,10.0,69,5.0,9.0,2.0,24.0,51.0,19.0,13.0
665,9.0,19,1.0,6.0,1.0,21.0,12.0,13.0,-2.0
670,9.0,10,0.0,0.0,0.0,4.0,12.0,11.0,-3.0
671,10.0,127,103.0,81.0,41.0,313.0,556.0,15.0,60.0
672,9.0,53,5.0,15.0,7.0,57.0,97.0,10.0,4.0
675,10.0,75,17.0,21.0,17.0,124.0,166.0,43.0,39.0
676,9.0,17,0.0,5.0,1.0,11.0,19.0,10.0,21.0
