ID;ID game;ID player;ID team;None;total time on ice;pucks;throws by;a shot on target;accurate transmission;interception;The face-off is won;face-off lost;blocked throws;ice exits
425;6353;7222;63;;0;0;0;0;0;0;0;0;0;NULL
426;6353;6423;63;;0;0;0;0;0;0;0;0;0;NULL
427;6353;2328;63;;0;0;0;0;0;0;0;0;0;NULL
428;6353;7538;63;;0;0;0;0;0;0;0;0;0;NULL
429;6353;2222;63;;0;0;0;0;0;0;0;0;0;NULL
430;6353;4249;63;;0;0;0;0;0;0;0;0;0;NULL
431;6353;4321;63;;0;0;0;0;0;0;0;0;0;NULL
432;6353;5821;63;;0;0;0;0;0;0;0;0;0;NULL
433;6353;6266;63;;0;0;0;0;0;0;0;0;0;NULL
434;6353;5203;63;;0;0;0;0;0;0;0;0;0;NULL
435;6353;7199;63;;0;0;0;0;0;0;0;0;0;NULL
436;6353;2322;63;;0;0;0;0;0;0;0;0;0;NULL
437;6353;5794;63;;0;0;0;0;0;0;0;0;0;NULL
438;6353;6327;63;;0;0;0;0;0;0;0;0;0;NULL
439;6353;2319;63;;0;0;0;0;0;0;0;0;0;NULL
440;6353;5793;63;;0;0;0;0;0;0;0;0;0;NULL
441;6353;5695;27;;0;0;0;0;0;0;0;0;0;NULL
442;6353;5873;27;;0;0;0;0;0;0;0;0;0;NULL
443;6353;7127;27;;1273;0;0;0;0;0;0;0;0;NULL
444;6353;4251;27;;907;0;0;0;0;0;0;0;0;NULL
445;6353;2329;27;;744;0;0;0;0;0;0;0;0;NULL
446;6353;4250;27;;1360;0;0;0;0;0;0;0;0;NULL
447;6353;6434;27;;740;0;0;0;0;0;0;0;0;NULL
448;6353;6090;27;;1015;0;0;0;0;0;0;0;0;NULL
449;6353;6085;27;;865;0;2;1;0;0;0;0;1;NULL
450;6353;6091;27;;1122;0;5;3;0;0;0;1;0;NULL
451;6353;4555;27;;1162;0;5;1;0;0;17;9;1;NULL
452;6353;1531;27;;945;0;4;3;0;0;2;0;0;NULL
453;6353;4558;27;;954;0;1;0;0;0;2;4;1;NULL
454;6353;7547;27;;1006;0;4;3;0;0;1;0;0;NULL
455;6353;2325;27;;1043;0;1;3;0;0;4;4;1;NULL
456;6358;3428;138;;0;0;0;0;0;0;0;0;0;NULL
457;6358;5162;138;;0;0;0;0;0;0;0;0;0;NULL
458;6358;1301;138;;0;0;0;0;0;0;0;0;0;NULL
459;6358;3060;138;;0;0;0;0;0;0;0;0;0;NULL
460;6358;1297;138;;0;0;0;0;0;0;0;0;0;NULL
461;6358;1560;138;;0;0;0;0;0;0;0;0;0;NULL
462;6358;7474;138;;0;0;0;0;0;0;0;0;0;NULL
463;6358;1066;138;;0;0;0;0;0;0;0;0;0;NULL
464;6358;6512;138;;0;0;0;0;0;0;0;0;0;NULL
465;6358;6508;138;;0;0;0;0;0;0;0;0;0;NULL
466;6358;6513;138;;0;0;0;0;0;0;0;0;0;NULL
467;6358;288;138;;0;0;0;0;0;0;0;0;0;NULL
468;6358;5276;138;;0;0;0;0;0;0;0;0;0;NULL
469;6358;1026;138;;0;0;0;0;0;0;0;0;0;NULL
470;6358;6213;138;;0;0;0;0;0;0;0;0;0;NULL
471;6358;6514;138;;0;0;0;0;0;0;0;0;0;NULL
472;6358;4256;38;;0;0;0;0;0;0;0;0;0;NULL
473;6358;495;38;;1531;0;0;0;0;0;0;0;0;NULL
474;6358;4604;38;;1432;0;0;0;0;0;0;0;0;NULL
