ID player;skill;amplua
639;0;9
8545;0;10
641;0;9
642;0;10
643;0;10
644;0;9
5272;8;10
646;0;10
647;0;9
648;0;10
649;0;10
650;0;10
651;0;10
652;0;10
653;0;9
654;0;10
655;0;9
656;0;8
657;0;10
658;0;10
659;0;10
6500;0;0
661;0;9
662;0;10
663;0;9
664;0;8
665;0;9
666;0;10
667;0;8
668;0;8
669;0;9
670;0;9
671;7;10
672;11;9
673;6;8
674;0;10
675;0;10
676;9;9
677;6;8
678;0;10
679;0;10
680;7;10
681;0;9
682;0;10
683;0;10
684;0;10
685;0;9
686;0;10
687;0;10
688;0;10
689;0;10
690;0;10
691;0;10
692;0;10
693;0;9
694;0;9
695;0;10
696;0;9
697;0;9
698;0;9
699;0;9
700;0;10
701;0;10
702;0;10
703;0;9
704;0;10
5099;0;0
706;0;10
707;0;9
708;0;9
709;0;9
710;0;10
711;0;9
712;0;9
713;9;10
714;0;9
715;0;10
716;0;9
717;0;10
718;0;10
719;0;9
720;0;10
721;0;10
722;11;10
723;0;10
724;0;10
725;0;10
726;11;10
727;0;10
728;0;10
729;0;9
730;0;9
731;0;9
732;0;0
733;0;10
734;0;10
735;7;10
736;0;10
737;0;10
738;11;9
739;7;9
740;0;8
741;0;9
742;0;10
743;0;8
744;6;9
745;0;10
746;0;10
747;0;10
748;0;9
749;0;10
750;0;9
751;0;10
4776;8;9
753;0;9
754;0;8
755;14;10
756;0;9
757;0;9
758;0;9
759;8;9
760;0;10
761;0;10
762;0;9
763;0;10
764;9;10
765;0;9
766;0;9
767;0;10
768;6;10
769;0;9
770;0;9
771;0;10
772;0;9
773;0;8
774;0;10
775;0;8
776;0;10
777;0;8
778;0;9
779;0;9
780;0;10
781;0;9
782;0;10
783;0;10
784;0;9
785;0;10
786;6;8
787;0;10
788;0;9
789;0;9
790;0;10
791;0;8
792;0;8
793;0;9
794;5;10
795;0;10
796;0;10
797;0;10
798;0;10
799;0;10
800;0;10
801;11;10
802;0;10
803;0;9
804;0;0
805;0;10
806;0;10
807;7;10
808;0;10
809;0;10
810;0;10
811;0;10
812;0;9
813;11;10
814;0;10
815;0;9
816;6;9
817;0;8
818;0;10
819;0;10
820;0;9
821;0;9
822;0;10
823;4;10
824;0;9
825;0;10
826;0;9
827;0;10
828;0;9
829;0;0
830;0;10
831;0;8
832;0;10
833;0;8
834;0;0
835;0;10
836;0;0
837;0;9
838;0;9
839;0;9
840;0;10
841;11;9
842;0;10
843;0;9
844;0;10
845;0;8
847;0;8
848;0;9
849;0;10
850;0;10
851;8;10
852;0;9
853;0;10
854;0;9
855;0;10
856;0;9
857;0;9
858;0;10
859;0;10
860;0;9
861;0;9
862;0;10
863;0;10
864;7;9
865;0;0
866;0;0
868;0;10
869;0;0
872;0;0
871;7;10
873;0;0
1384;0;10
875;0;0
876;0;10
877;0;0
878;0;0
879;14;9
1385;0;10
1498;0;9
882;0;0
883;9;10
884;0;9
885;0;9
886;0;10
887;0;0
888;0;0
889;0;0
890;0;0
891;0;8
892;4;10
893;0;9
894;0;10
895;0;10
896;0;9
897;0;8
898;6;10
899;0;10
900;2;10
901;0;10
902;0;10
903;0;10
904;0;10
905;0;9
906;0;9
907;0;10
908;0;8
909;0;9
910;0;9
911;0;10
912;0;10
913;0;8
914;0;8
915;0;8
916;0;9
917;0;9
918;0;9
919;0;9
920;0;9
921;9;10
922;0;10
923;0;10
924;0;10
925;0;10
926;0;10
927;0;10
928;0;10
929;0;10
1570;6;10
1571;11;10
931;0;10
932;0;9
933;0;9
934;0;10
935;0;9
936;0;9
937;11;10
938;0;8
939;0;10
940;0;9
1754;0;8
1755;0;8
942;0;9
943;0;10
944;0;10
945;0;9
946;0;9
947;1;10
948;0;10
949;0;10
950;0;10
951;0;10
952;0;10
953;11;10
954;6;9
955;2;10
956;0;8
957;0;8
958;0;9
959;0;9
960;0;9
961;0;9
962;0;9
963;0;9
964;0;9
965;0;10
966;0;10
967;0;10
968;11;10
969;0;10
3697;0;9
971;0;10
972;0;10
973;0;9
974;0;8
975;0;9
976;11;9
977;0;9
978;7;8
979;0;8
980;0;10
981;0;9
982;11;10
983;0;10
984;0;10
985;7;10
986;0;9
1521;0;9
1522;0;10
988;14;10
989;0;10
990;0;10
991;0;10
993;0;9
992;7;10
994;0;10
995;0;8
996;3;10
997;4;8
998;6;8
999;0;8
1000;0;9
1001;0;9
1002;0;10
1003;0;10
1004;0;10
1005;0;10
1006;11;10
1007;0;10
1008;7;9
1009;0;10
1010;0;9
5871;3;9
1012;0;9
1013;0;10
1014;0;9
1015;0;10
1016;0;10
1017;0;9
1018;0;9
1019;0;9
1020;0;9
1021;0;10
1022;0;10
1023;0;10
1024;0;10
1025;0;10
1026;0;10
1027;0;10
1028;0;10
1029;11;9
1030;0;10
1031;0;10
1032;0;10
1033;0;10
1034;0;10
1035;0;9
1036;0;9
1037;0;9
1038;0;9
1039;0;10
1040;0;9
1041;0;9
1042;0;9
1043;0;10
1044;0;8
1045;0;8
1046;0;8
1047;0;9
1048;0;9
1049;0;9
1050;0;9
1051;0;9
1052;0;9
1053;0;9
1054;0;9
1055;0;9
1056;0;10
1057;0;10
1058;0;10
1059;0;10
1060;0;8
1061;0;10
1062;0;10
1063;0;10
1064;0;9
1065;0;9
1066;0;10
1067;0;10
1068;0;10
1069;0;10
1070;0;9
1071;0;9
1072;0;9
1073;0;9
1074;0;10
1075;0;10
1076;0;9
1077;0;8
1078;0;10
1079;0;9
1080;0;9
1081;0;9
1082;0;9
1083;0;9
1084;0;9
