ID player,amplua,time,G,As,As_2,TB,Shot,BT,pm
295,10.00,14.94,0.24,0.12,0.03,1.21,2.38,0.18,-0.88
298,10.00,14.08,0.26,0.21,0.13,0.98,2.13,0.21,-0.40
299,10.00,17.56,0.25,0.29,0.13,0.66,1.53,0.35,-0.44
301,9.00,14.05,0.00,0.00,1.00,1.00,2.00,1.00,1.00
302,10.00,12.09,0.17,0.19,0.09,0.87,1.79,0.04,-0.80
303,9.00,19.49,0.14,0.14,0.00,1.14,1.57,0.71,-0.60
305,10.00,15.12,0.44,0.36,0.02,1.02,2.56,0.36,-0.29
314,10.00,14.14,0.54,0.31,0.31,2.19,3.77,0.27,0.08
328,10.00,12.69,0.29,0.12,0.08,1.42,2.21,0.12,0.81
333,10.00,12.62,0.40,0.31,0.10,1.83,2.81,0.31,0.41
334,10.00,13.17,0.22,0.22,0.05,0.95,2.00,0.38,0.37
343,9.00,15.80,0.17,0.30,0.13,1.61,1.48,0.70,-0.19
349,9.00,23.45,0.00,1.00,0.00,1.00,5.00,1.00,-1.00
350,10.00,17.15,0.75,0.75,0.00,3.75,4.50,0.50,0.25
351,9.00,20.27,0.00,0.33,0.00,1.00,0.33,0.33,-3.00
353,9.00,9.10,0.00,0.04,0.04,0.72,0.56,0.08,0.11
354,10.00,21.00,0.40,0.60,0.00,2.00,6.20,0.60,0.20
356,9.00,22.10,0.20,0.15,0.20,1.85,2.00,2.05,-0.25
360,10.00,11.36,0.25,0.12,0.05,0.80,1.93,0.10,-0.33
362,9.00,16.67,0.53,0.28,0.16,1.67,2.65,0.42,0.67
364,10.00,12.87,0.30,0.20,0.00,0.80,2.40,0.20,-0.33
365,10.00,1.93,0.00,0.00,0.00,0.00,0.00,0.00,
366,10.00,11.32,0.36,0.26,0.09,1.16,1.91,0.07,-0.15
369,10.00,13.08,0.40,0.17,0.05,0.90,2.58,0.15,-0.24
370,9.00,8.41,0.00,0.00,0.00,0.12,0.50,0.38,0.00
372,9.00,15.31,0.06,0.06,0.02,0.49,0.28,0.91,0.46
374,9.00,11.49,0.36,0.09,0.09,1.27,1.64,0.18,1.00
375,9.00,15.17,0.51,0.29,0.07,1.68,2.78,0.39,0.46
376,10.00,8.46,0.17,0.00,0.17,1.00,1.50,0.00,-1.00
377,10.00,14.00,0.31,0.08,0.00,1.62,2.92,0.08,-0.44
378,10.00,14.86,0.24,0.27,0.11,2.14,2.86,0.23,-0.31
380,10.00,10.42,0.59,0.15,0.07,0.93,2.48,0.04,1.10
381,9.00,15.02,0.23,0.10,0.04,0.94,0.94,0.98,-0.28
385,9.00,20.00,0.50,0.17,0.00,2.00,1.67,1.50,1.17
387,10.00,19.00,0.39,0.42,0.14,1.61,2.77,0.14,-0.53
388,10.00,12.18,0.28,0.23,0.00,1.13,1.97,0.10,-0.50
393,10.00,14.51,0.04,0.08,0.00,0.58,1.15,0.27,-1.05
397,9.00,18.32,0.13,0.15,0.06,1.27,1.44,0.60,0.26
399,9.00,16.22,0.26,0.12,0.13,1.14,1.82,0.53,-0.15
402,9.00,16.84,0.05,0.10,0.05,0.55,0.55,0.30,0.44
405,10.00,7.59,0.04,0.08,0.08,0.62,1.00,0.08,-0.88
406,10.00,13.26,0.36,0.20,0.15,1.42,2.61,0.15,0.18
407,9.00,14.84,0.13,0.09,0.00,1.00,1.48,0.61,0.84
408,10.00,13.20,0.11,0.11,0.00,1.22,1.33,0.11,-1.40
409,10.00,13.93,0.33,0.33,0.07,1.73,2.67,0.40,0.60
410,10.00,16.62,0.50,0.38,0.10,1.62,3.22,0.20,0.51
412,9.00,11.94,0.04,0.16,0.04,0.48,0.46,0.98,-0.15
415,10.00,14.46,0.20,0.29,0.07,0.85,1.72,0.26,0.22
418,10.00,14.74,0.25,0.08,0.00,1.58,2.25,0.50,-0.20
419,10.00,13.56,0.19,0.24,0.10,1.07,1.63,0.90,0.04
429,10.00,9.10,0.00,0.00,0.00,1.00,0.50,0.00,-0.67
430,9.00,7.07,0.00,0.00,0.00,0.00,0.00,0.00,1.00
435,9.00,16.26,0.21,0.15,0.07,1.37,1.16,0.68,0.90
438,9.00,11.66,0.04,0.20,0.04,0.44,0.80,0.56,-1.00
444,9.00,18.65,0.04,0.12,0.04,1.19,1.46,1.23,0.09
445,10.00,17.26,0.29,0.10,0.06,1.55,2.90,0.65,-0.31
446,9.00,12.57,0.07,0.20,0.07,0.40,0.27,1.00,0.08
447,9.00,27.58,0.00,0.00,0.00,2.00,1.00,0.00,-3.00
448,10.00,16.44,0.00,0.25,0.08,1.50,2.83,0.08,-0.73
450,9.00,21.60,0.00,0.13,0.07,1.47,1.80,0.87,-0.50
451,10.00,16.82,0.00,0.00,0.17,1.25,3.00,0.08,-2.43
452,9.00,14.07,0.07,0.07,0.00,0.81,0.74,0.63,0.57
453,10.00,11.19,0.27,0.36,0.09,0.82,1.91,0.18,1.43
454,9.00,12.20,0.44,0.12,0.00,1.88,3.81,0.75,0.00
456,9.00,16.14,0.04,0.26,0.06,1.13,1.40,0.98,1.05
459,10.00,8.14,0.33,1.33,0.00,0.00,1.33,0.00,0.50
460,10.00,14.14,0.10,0.19,0.04,0.74,1.32,0.43,-0.02
461,10.00,13.79,0.18,0.12,0.00,0.65,2.00,0.24,-0.46
464,10.00,12.80,0.50,0.50,0.50,1.50,1.50,0.00,2.50
465,10.00,2.20,0.00,0.00,0.00,0.00,0.00,0.00,
466,10.00,11.19,0.18,0.09,0.00,0.55,0.91,0.00,-1.71
467,10.00,15.80,0.50,0.29,0.05,1.52,2.45,0.24,-0.09
474,10.00,16.63,0.65,0.59,0.20,1.98,3.80,0.43,0.93
479,10.00,14.28,0.30,0.22,0.04,0.70,1.96,0.22,0.39
480,10.00,13.70,0.12,0.12,0.00,0.76,1.24,0.29,-0.25
482,10.00,12.41,0.05,0.10,0.05,0.48,0.48,0.33,0.22
485,10.00,15.47,0.45,0.14,0.09,1.82,3.82,0.73,-0.91
486,9.00,8.30,0.00,0.00,0.00,0.00,1.00,1.00,1.00
487,10.00,15.32,0.57,0.21,0.06,1.77,3.37,0.19,-0.02
492,10.00,11.52,0.23,0.13,0.13,1.13,1.72,0.18,-0.60
495,9.00,19.08,0.06,0.19,0.00,1.83,1.21,0.75,-0.72
496,9.00,20.19,0.04,0.02,0.12,1.79,1.38,0.75,-0.77
498,9.00,15.27,0.33,0.00,0.00,1.00,1.67,0.33,-0.67
499,10.00,15.76,0.43,0.20,0.07,1.19,2.50,0.43,-0.94
500,10.00,4.50,0.00,0.00,0.00,0.00,0.00,0.00,-3.00
501,10.00,14.38,0.12,0.08,0.08,0.46,1.21,0.67,-1.20
505,9.00,14.45,0.00,0.00,0.00,0.00,2.50,0.50,0.50
506,9.00,20.80,0.00,0.00,0.00,0.00,1.00,0.00,-2.00
508,10.00,12.79,0.59,0.29,0.06,0.59,2.80,0.16,0.34
511,9.00,19.22,0.00,0.00,0.50,0.75,1.50,1.25,0.50
519,9.00,18.25,0.00,0.00,0.10,1.50,1.10,0.50,-1.00
522,10.00,15.21,0.31,0.42,0.11,1.36,2.38,0.47,0.24
524,9.00,17.39,0.02,0.10,0.06,0.94,0.96,0.90,0.65
526,10.00,14.27,0.57,0.14,0.14,0.89,1.86,0.50,0.46
527,9.00,15.92,0.04,0.13,0.00,0.83,1.09,0.96,0.35
531,9.00,13.73,0.39,0.16,0.07,1.26,2.37,0.11,-0.12
535,9.00,12.33,0.17,0.17,0.00,1.83,0.83,0.50,0.33
536,10.00,16.87,0.57,0.48,0.13,1.74,3.35,0.43,-0.55
541,9.00,11.86,0.00,0.00,0.00,0.89,0.78,0.22,-0.89
543,10.00,14.23,0.62,0.24,0.00,0.71,3.19,0.67,0.12
544,9.00,17.79,0.10,0.13,0.10,1.07,0.83,1.20,-0.15
545,10.00,17.75,0.16,0.05,0.03,1.39,1.87,0.34,-0.78
551,10.00,15.35,0.44,0.11,0.00,1.22,2.96,0.11,0.22
556,9.00,21.51,0.47,0.40,0.00,1.73,2.73,0.13,-0.50
557,10.00,20.66,0.08,0.12,0.04,2.00,2.56,0.40,-0.30
561,10.00,11.22,0.08,0.00,0.00,0.92,1.15,0.08,-0.82
562,10.00,14.74,0.00,0.00,0.00,1.67,2.67,0.00,-1.33
564,9.00,14.00,0.00,0.00,0.00,0.00,0.00,0.00,-3.00
568,9.00,18.13,0.28,0.12,0.08,1.04,1.52,0.80,-0.83
570,10.00,12.04,0.12,0.12,0.00,0.75,1.00,0.25,-1.40
571,9.00,16.94,0.00,0.03,0.00,0.61,0.36,1.12,-1.37
572,10.00,9.64,0.07,0.14,0.07,0.79,1.21,0.07,0.56
577,9.00,16.15,0.08,0.22,0.03,0.78,0.41,1.16,0.32
578,10.00,14.23,0.00,0.00,0.25,1.75,2.75,0.00,-0.67
583,10.00,16.59,0.33,0.19,0.10,1.95,2.71,0.38,-0.25
585,10.00,17.29,0.07,0.14,0.00,0.69,1.34,0.52,-1.41
587,9.00,15.80,0.00,0.24,0.18,0.94,0.71,0.88,0.00
589,9.00,16.88,0.29,0.24,0.06,2.32,2.56,0.48,1.00
590,9.00,23.69,0.27,0.09,0.09,1.64,1.55,2.27,-1.27
592,9.00,16.88,0.00,0.08,0.06,1.00,0.72,0.75,0.15
593,9.00,18.11,0.04,0.15,0.08,0.75,0.60,0.38,-0.28
594,10.00,11.63,0.32,0.16,0.00,1.42,1.84,0.58,-1.13
595,10.00,8.58,0.00,0.08,0.00,0.23,0.31,0.23,-0.25
597,10.00,16.18,0.30,0.30,0.04,1.57,2.00,0.35,-0.40
601,10.00,20.13,0.00,0.00,0.00,3.00,6.00,0.00,3.00
606,9.00,16.53,0.33,0.17,0.00,2.00,2.33,0.83,-1.75
607,10.00,18.01,0.83,0.17,0.17,1.50,3.33,0.17,-1.67
610,10.00,14.74,0.37,0.30,0.10,1.93,2.77,0.30,-0.22
614,10.00,22.20,1.00,0.00,0.00,4.00,3.00,0.00,1.00
616,9.00,9.78,0.00,0.25,0.00,0.00,0.75,0.25,-2.00
618,9.00,19.51,0.21,0.23,0.10,1.15,2.02,0.85,-0.95
619,9.00,21.21,0.02,0.15,0.04,0.91,0.83,0.96,-0.59
