ID player,integral_dev
1015.00,-108.25
1016.00,96.55
1017.00,-58.87
1018.00,-43.19
1021.00,-115.94
1024.00,-109.04
1026.00,22.80
1027.00,-51.92
1033.00,-66.98
1034.00,-27.58
1036.00,-37.11
1038.00,-204.59
1039.00,-55.25
1040.00,-63.51
1043.00,-5.49
1049.00,-40.89
1054.00,-69.21
1058.00,-15.31
1059.00,-29.01
1066.00,-128.77
1076.00,45.37
1082.00,-16.02
1085.00,-59.20
1086.00,-18.29
1087.00,-60.06
1090.00,-67.03
1093.00,-4.61
1095.00,28.83
1100.00,14.35
1101.00,59.34
1102.00,-92.60
1104.00,-109.48
1105.00,8.33
1108.00,39.14
1109.00,-137.77
1112.00,-100.31
1116.00,122.32
1118.00,94.46
1119.00,-10.82
1121.00,74.18
1122.00,-28.00
1128.00,-9.88
1129.00,-63.59
1132.00,-64.32
1133.00,70.66
1135.00,65.47
1136.00,-6.39
1137.00,10.68
1139.00,26.77
1140.00,1.30
1143.00,0.41
1144.00,56.92
1145.00,20.58
1146.00,20.96
1148.00,25.91
1157.00,54.28
1159.00,-54.44
1162.00,-67.47
1165.00,23.71
1177.00,-24.64
1180.00,-150.10
1186.00,-225.38
1187.00,26.39
1188.00,-14.00
1192.00,-59.66
1195.00,-67.05
1198.00,-18.91
1204.00,-90.46
1205.00,-22.22
1206.00,42.55
1208.00,-58.77
1213.00,-7.15
1214.00,19.62
1217.00,-16.09
1218.00,7.73
1220.00,-83.92
1223.00,-15.28
1224.00,-76.72
1226.00,-56.74
1228.00,11.33
1229.00,-7.51
1230.00,32.00
1232.00,-123.03
1233.00,64.39
1234.00,-21.25
1236.00,21.80
1237.00,36.19
1240.00,107.71
1242.00,38.72
1243.00,77.60
1244.00,80.52
1245.00,-101.47
1246.00,37.58
1247.00,72.67
1249.00,-118.61
1250.00,-36.13
1252.00,17.50
1253.00,-31.89
1254.00,61.84
1255.00,34.72
1260.00,19.90
1261.00,-21.35
1264.00,52.94
1265.00,-6.55
1275.00,-20.00
1294.00,-229.40
1297.00,-18.14
1298.00,-23.24
1304.00,42.27
1306.00,49.78
1310.00,-58.88
1313.00,-26.10
