ID player,MisG,TotalTr,ReflSh
8579.00,3.38,35.62,90.24
8601.00,7.00,29.00,75.86
8634.00,4.20,21.50,82.39
8668.00,3.14,23.43,87.13
8669.00,3.75,30.25,87.38
8709.00,2.85,23.05,87.90
8725.00,3.00,20.75,87.29
8726.00,4.00,25.00,84.00
8728.00,3.43,15.71,-inf
8812.00,6.00,19.00,68.42
8820.00,2.45,25.83,90.42
8829.00,3.77,26.08,85.93
8887.00,3.41,28.06,87.64
8905.00,3.80,19.80,78.91
8932.00,6.00,30.25,-inf
8945.00,4.66,27.84,-inf
8952.00,2.53,24.51,-inf
8959.00,2.52,19.14,86.46
8977.00,21.00,60.00,65.00
9293.00,3.00,20.00,85.00
9322.00,3.96,23.76,-inf
9324.00,3.83,24.00,84.87
9327.00,2.50,29.50,91.08
9341.00,2.67,36.83,92.48
9359.00,2.00,20.00,90.00
9364.00,2.17,20.67,90.33
9601.00,3.56,31.62,88.94
9673.00,4.50,27.27,-inf
9693.00,5.31,26.23,79.60
9718.00,2.00,32.00,93.75
9789.00,6.50,31.00,77.02
9866.00,5.00,37.00,85.63
10063.00,3.12,33.69,90.74
10093.00,3.20,23.30,84.58
10101.00,6.50,28.50,82.50
10107.00,6.00,31.50,80.61
10132.00,3.50,23.50,84.77
10151.00,2.15,17.92,89.47
10174.00,3.40,28.60,87.92
10188.00,2.50,25.50,90.51
10193.00,6.00,35.60,83.86
10220.00,2.00,27.00,92.59
10238.00,3.00,23.60,86.79
10239.00,5.14,23.14,80.36
10245.00,5.00,30.00,83.33
10247.00,2.80,25.00,89.01
10359.00,4.20,27.80,84.48
10389.00,2.32,17.26,84.42
10403.00,2.75,20.57,87.03
10406.00,6.00,25.00,75.54
10415.00,5.38,31.50,82.78
10416.00,2.65,20.52,87.50
10419.00,4.75,26.00,82.30
10425.00,4.42,28.42,85.45
10435.00,5.14,32.93,84.08
10452.00,5.00,23.50,79.06
10489.00,5.00,38.00,86.84
10502.00,4.00,56.00,92.86
10639.00,1.00,10.00,90.00
10768.00,1.00,16.00,93.75
10769.00,1.25,11.00,89.73
10827.00,1.00,11.00,90.91
11186.00,6.50,36.12,81.40
11213.00,5.00,23.00,78.26
11284.00,3.00,22.60,85.10
11314.00,9.50,34.00,71.84
11372.00,8.00,31.00,74.19
11434.00,6.17,39.17,84.16
11461.00,3.94,38.38,89.70
11545.00,6.25,33.00,81.83
11548.00,1.00,14.00,92.86
11562.00,4.94,30.38,85.63
11572.00,3.67,27.83,86.50
11588.00,10.00,31.67,69.28
11625.00,4.00,13.00,69.23
11656.00,5.50,40.00,86.08
11684.00,2.83,25.17,88.16
11722.00,4.00,25.60,83.72
11735.00,2.50,17.00,87.12
11736.00,3.67,18.67,80.38
11768.00,7.20,39.80,81.71
