ID player,MisG,TotalTr,ReflSh,dev_MisG,dev_ReflSh,dev_TotalTr
7966.00,4.91,26.96,81.86,-18.19,-2.79,1.89
7970.00,3.52,24.83,85.62,15.27,1.68,-6.16
7978.00,3.20,18.20,83.23,22.97,-1.16,-31.22
7979.00,4.42,22.25,79.94,-6.39,-5.07,-15.91
8010.00,2.95,32.57,91.12,28.99,8.21,23.09
8012.00,4.94,31.94,84.61,-18.91,0.48,20.71
8020.00,2.65,25.23,88.29,36.21,4.85,-4.65
8040.00,2.54,26.00,90.43,38.86,7.39,-1.74
8043.00,12.50,35.00,66.89,-200.89,-20.56,32.27
8048.00,5.00,23.00,78.26,-20.35,-7.06,-13.08
8116.00,5.00,31.00,83.87,-20.35,-0.40,17.16
8290.00,3.00,17.00,82.35,27.79,-2.20,-35.75
8318.00,5.00,27.00,79.66,-20.35,-5.40,2.04
8360.00,5.00,21.50,76.73,-20.35,-8.88,-18.75
8367.00,6.00,30.00,80.00,-44.43,-4.99,13.38
8372.00,8.50,30.00,71.65,-104.60,-14.91,13.38
8403.00,3.23,30.66,89.91,22.25,6.77,15.87
8407.00,2.59,20.70,87.23,37.66,3.59,-21.77
8431.00,3.52,22.45,84.84,15.27,0.75,-15.16
8579.00,3.38,35.62,90.24,18.64,7.17,34.62
8634.00,3.80,21.60,84.26,8.53,0.06,-18.37
8668.00,3.50,25.33,86.37,15.75,2.57,-4.27
8669.00,3.75,30.25,87.38,9.73,3.77,14.32
8709.00,2.93,23.36,87.56,29.47,3.98,-11.72
8725.00,6.78,31.33,81.43,-63.20,-3.30,18.40
8726.00,4.00,25.00,84.00,3.72,-0.24,-5.52
8728.00,1.00,22.00,95.45,75.93,13.35,-16.86
8812.00,6.00,19.00,68.42,-44.43,-18.75,-28.19
8820.00,2.64,27.27,89.77,36.45,6.61,3.06
8829.00,2.75,22.50,89.50,33.81,6.29,-14.97
8887.00,3.27,27.67,88.01,21.29,4.52,4.57
8905.00,3.80,19.80,78.91,8.53,-6.29,-25.17
8932.00,6.50,37.25,82.66,-56.46,-1.84,40.78
8945.00,4.67,27.89,82.77,-12.41,-1.71,5.40
8952.00,2.15,24.65,91.18,48.25,8.28,-6.84
8959.00,2.56,19.81,86.88,38.38,3.18,-25.13
9322.00,3.77,23.05,83.86,9.25,-0.41,-12.89
9341.00,3.75,32.00,89.14,9.73,5.86,20.94
9364.00,2.40,22.00,89.82,42.23,6.67,-16.86
9601.00,4.67,37.00,87.08,-12.41,3.41,39.83
9673.00,4.53,27.33,84.07,-9.04,-0.16,3.29
9693.00,3.00,15.00,80.00,27.79,-4.99,-43.31
9789.00,6.50,31.00,77.02,-56.46,-8.53,17.16
9866.00,5.00,37.00,85.63,-20.35,1.69,39.83
10063.00,4.00,37.40,89.56,3.72,6.36,41.34
10093.00,3.00,24.00,87.50,27.79,3.91,-9.30
10107.00,6.00,31.50,80.61,-44.43,-4.27,19.05
10132.00,3.50,23.50,84.77,15.75,0.67,-11.19
10151.00,1.75,17.25,92.80,57.88,10.21,-34.81
10174.00,3.40,28.60,87.92,18.16,4.41,8.09
10179.00,4.00,20.00,80.00,3.72,-4.99,-24.42
10193.00,6.00,35.60,83.86,-44.43,-0.41,34.54
10220.00,2.00,27.00,92.59,51.86,9.96,2.04
10238.00,3.17,24.00,86.19,23.70,2.36,-9.30
10239.00,12.00,36.00,66.67,-188.85,-20.82,36.05
10245.00,5.00,30.00,83.33,-20.35,-1.04,13.38
10247.00,4.50,31.50,86.08,-8.32,2.23,19.05
10359.00,5.00,25.50,77.90,-20.35,-7.49,-3.63
10389.00,2.00,32.00,93.75,51.86,11.33,20.94
10403.00,2.00,15.50,86.90,51.86,3.20,-41.42
10406.00,7.50,30.00,75.44,-80.53,-10.41,13.38
10415.00,5.00,25.00,80.00,-20.35,-4.99,-5.52
10416.00,3.00,23.50,86.82,27.79,3.10,-11.19
10419.00,3.50,22.50,85.19,15.75,1.17,-14.97
10425.00,5.00,28.50,82.78,-20.35,-1.69,7.71
10435.00,5.20,34.40,83.71,-25.17,-0.59,30.01
10502.00,4.00,56.00,92.86,3.72,10.28,111.64
